matricule,name,cisco,studied_at,observation,mention,option
60720-FKXB,Rajaonarison Rina Tovo Andry Miangaly,Morondava,School_48,non admis,passable,S
16536-MBNM,Andrianarivo Fanilo Hasina,Antsiranana,School_41,admis,très bien,A2
58403-BPZL,Andrianarivo Fanilo Tiana,Antsirabe,School_8,non admis,passable,S
14415-FPAW,Rasolofoson Hasina Finaritra Hery Herilala,Toamasina,School_5,admis,passable,A2
65190-EVLQ,Randria Haja Rina Herilala Fitiavana,Fianarantsoa,School_78,non admis,passable,A2
84171-YDWW,Rasolofoson Herilala Miangaly,Antsiranana,School_69,non admis,passable,L
14073-UPNI,Raharinaivo Hery Haja Soa,Farafangana,School_33,admis,passable,A1
76561-UQWX,Rakotomamonjy Haja Hasina,Toamasina,School_94,non admis,passable,S
63483-TCOJ,Raharinaivo Andry Fanilo Herilala Hasina,Antananarivo,School_93,admis,passable,A1
26151-EODP,Rasolofoson Mamy Haja,Toliara,School_65,non admis,bien,A1
98399-MCAR,Rasolofo Herilala Miangaly Fanilo Rina,Antsiranana,School_34,non admis,passable,OSE
68806-BDMA,Rakotomamonjy Haja Tojo,Morondava,School_94,admis,passable,D
15487-LQMZ,Rasolofoson Andry Haja Fitiavana Tovo,Antsirabe,School_2,non admis,assez bien,A1
13831-LLGE,Rakotomamonjy Soa Mamy,Mananjary,School_67,admis,très bien,A1
68362-ZLDI,Rasolofoson Hasina Finaritra Miangaly,Farafangana,School_26,admis,bien,A1
84481-OQNG,Raharimanana Tojo Miangaly Andry Haja,Toamasina,School_85,non admis,passable,A2
93925-KYCH,Rasolofoson Miangaly Fanilo Finaritra,Antananarivo,School_25,non admis,passable,C
73023-REVZ,Randria Hery Tiana,Antananarivo,School_69,non admis,passable,D
13891-NNOX,Raharinaivo Soa Tiana,Toamasina,School_87,non admis,passable,A1
25975-WDQK,Andrianarivo Tiana Tojo Fitiavana Soa,Mananjary,School_86,non admis,bien,C
40422-LXCN,Randria Tovo Mamy Tiana Hasina,Morondava,School_19,non admis,passable,D
94992-TKWB,Randria Herilala Hasina Tojo Rina,Mahajanga,School_51,admis,passable,OSE
19961-PYPF,Rakotomamonjy Fanilo Rina,Toamasina,School_28,admis,très bien,A2
58431-KFGB,Randrianarivelo Hery Tovo,Mahajanga,School_36,non admis,passable,A1
83941-DRXX,Raharimanana Rina Andry Herilala,Mahajanga,School_5,admis,passable,A1
42700-LYMJ,Rajaonarison Miangaly Mamy Tiana,Antananarivo,School_38,non admis,passable,D
65911-HPAE,Andrianarivo Fitiavana Tovo,Toamasina,School_56,non admis,passable,S
30039-SLWO,Rasolofo Hery Miangaly Tovo Soa,Morondava,School_44,admis,passable,A1
29280-QCIN,Rasolofoson Andry Soa,Fianarantsoa,School_35,non admis,passable,A2
32603-KYLO,Andrianarivo Mamy Andry Finaritra Rina,Antananarivo,School_24,admis,passable,A1
54856-FYFP,Rajaonarison Tiana Mamy Herilala,Antananarivo,School_59,admis,passable,C
78088-ZOHA,Rajaonarison Haja Andry Tiana Hasina,Ambatondrazaka,School_93,non admis,passable,A1
41382-TARF,Raharinaivo Haja Andry Fanilo Herilala,Antsiranana,School_98,admis,passable,A1
35682-OKGK,Rakotoarisoa Finaritra Tovo Herilala Tojo,Antananarivo,School_92,non admis,passable,S
20368-HKLI,Randria Haja Hasina,Fianarantsoa,School_27,non admis,bien,A2
60951-RZLS,Andrianarivo Tiana Fitiavana Tovo,Morondava,School_28,admis,passable,A2
32625-AXQX,Raharimanana Miangaly Tovo Hery,Mahajanga,School_68,admis,passable,A2
54522-WMKM,Rajaonarison Andry Miangaly,Farafangana,School_89,non admis,très bien,A2
15628-SWKW,Rakotomamonjy Miangaly Tojo,Mananjary,School_70,non admis,passable,D
30646-SZIA,Rakotomamonjy Tovo Haja Finaritra Andry,Morondava,School_68,admis,passable,D
29112-KYEH,Rakotoarisoa Fitiavana Tiana,Toamasina,School_5,non admis,passable,A1
68384-BSBO,Rakotoarisoa Rina Hasina,Antsirabe,School_78,non admis,passable,A2
62207-UGRA,Rasolofo Tojo Hasina,Farafangana,School_60,non admis,passable,C
46108-FEXT,Rasolofo Fitiavana Herilala,Farafangana,School_63,non admis,passable,C
73555-WEMT,Andrianarivo Fitiavana Herilala Miangaly Finaritra,Farafangana,School_77,admis,passable,A2
13347-UYVB,Rakotoarisoa Hery Herilala,Mananjary,School_95,admis,passable,C
77681-RBHF,Rajaonarison Haja Soa,Toamasina,School_17,non admis,passable,A1
97515-UHDT,Raharimanana Tovo Andry Hasina,Ambatondrazaka,School_66,admis,passable,A2
25099-SKDV,Raharimanana Finaritra Herilala,Mahajanga,School_71,admis,passable,S
12790-LPEC,Rajaonarison Rina Miangaly,Antsirabe,School_4,non admis,passable,A2
20564-ZUXZ,Rakotomamonjy Mamy Fanilo Hasina,Fianarantsoa,School_68,non admis,passable,A1
47021-BDDM,Rasolofo Andry Fanilo Fitiavana,Farafangana,School_50,admis,assez bien,L
39412-CGCE,Raharimanana Herilala Finaritra,Antananarivo,School_36,non admis,passable,A1
89496-EDBO,Rakotoarisoa Mamy Haja Tovo,Toliara,School_78,non admis,très bien,D
86758-SCKC,Raharimanana Herilala Tiana Tovo,Toliara,School_95,admis,assez bien,L
59164-MHVP,Andrianarivo Tojo Herilala Hery Finaritra,Fianarantsoa,School_70,admis,bien,A1
14001-KWGN,Raharimanana Haja Fanilo Hasina,Ambatondrazaka,School_59,admis,assez bien,A2
78670-ERJW,Randrianarivelo Soa Herilala Fanilo Mamy,Antananarivo,School_66,admis,passable,A2
87630-FJXW,Raharimanana Tiana Rina Herilala,Toliara,School_96,non admis,passable,A1
28496-TBEH,Andrianarivo Fanilo Tovo Haja Hery,Toamasina,School_34,admis,bien,A1
74714-AWPH,Rakotomamonjy Hasina Tovo,Ambatondrazaka,School_86,non admis,passable,A2
61411-LWZO,Raharimanana Rina Tojo Hery Tovo,Antananarivo,School_52,admis,passable,A2
27459-DPRW,Rakotomamonjy Fanilo Finaritra Herilala,Toliara,School_2,non admis,passable,A2
15099-EADB,Rajaonarison Haja Tiana Tovo,Toliara,School_69,admis,passable,D
63345-DPZX,Raharimanana Fitiavana Soa Tiana,Morondava,School_54,non admis,très bien,A1
60253-SKSG,Randria Finaritra Haja,Antananarivo,School_22,admis,bien,A2
94271-MFVI,Randrianarivelo Miangaly Rina Andry,Ambatondrazaka,School_17,non admis,bien,A1
79973-CWZV,Andrianarivo Tovo Tiana Finaritra Mamy,Morondava,School_62,non admis,passable,A1
24981-GOQQ,Rakotomamonjy Andry Tiana Miangaly,Toamasina,School_32,non admis,assez bien,D
26422-PIIZ,Rasolofoson Mamy Hasina Tiana Fanilo,Mahajanga,School_43,admis,passable,A1
47247-KJDS,Randrianarivelo Fanilo Herilala,Fianarantsoa,School_22,non admis,passable,A1
98416-DYZN,Randria Finaritra Tovo Herilala Miangaly,Antsirabe,School_51,non admis,passable,A2
73457-KSTO,Raharinaivo Fanilo Hery Herilala,Antsiranana,School_18,admis,passable,A2
84614-OJIL,Randrianarivelo Fitiavana Tiana Fanilo,Fianarantsoa,School_94,admis,passable,C
90222-ALFF,Rasolofoson Andry Finaritra,Toliara,School_47,admis,passable,OSE
78744-FBYV,Raharimanana Mamy Soa Haja Finaritra,Mahajanga,School_37,admis,passable,A2
47680-MJEW,Rasolofoson Fitiavana Hasina Miangaly,Fianarantsoa,School_100,non admis,passable,D
56774-SXFG,Randria Soa Hery Fanilo Andry,Farafangana,School_94,non admis,passable,A1
98372-LWSV,Raharimanana Tojo Herilala,Fianarantsoa,School_96,non admis,passable,C
67994-OIKX,Rasolofoson Herilala Fitiavana Mamy Tojo,Mananjary,School_19,admis,passable,A1
22636-FOBS,Randrianarivelo Fanilo Miangaly,Morondava,School_19,non admis,passable,OSE
36732-LFQL,Rajaonarison Finaritra Tovo,Ambatondrazaka,School_28,non admis,assez bien,A1
88214-YOUA,Randrianarivelo Hasina Finaritra Fitiavana Mamy,Farafangana,School_83,non admis,passable,A2
48530-HBKR,Raharimanana Tojo Soa Tovo Hery,Mahajanga,School_98,admis,passable,OSE
61545-EGGI,Rakotoarisoa Herilala Tovo Rina,Morondava,School_67,admis,bien,A2
91462-MHWE,Rakotoarisoa Mamy Tovo Rina Soa,Farafangana,School_82,admis,passable,A1
28343-VKKL,Raharimanana Haja Herilala Tovo Hery,Farafangana,School_60,non admis,passable,C
38927-FNRC,Rajaonarison Soa Tovo Hasina Andry,Mananjary,School_79,non admis,passable,C
73927-ETNU,Randria Andry Miangaly Hery,Mananjary,School_37,non admis,bien,A2
37612-FVTJ,Rakotoarisoa Tojo Mamy,Antsiranana,School_87,non admis,passable,A1
98354-BYWU,Rajaonarison Tovo Soa,Antananarivo,School_47,non admis,passable,A2
56398-LNEY,Randrianarivelo Tovo Herilala Andry Hasina,Toliara,School_61,non admis,assez bien,A2
67432-ZXTH,Rasolofoson Tojo Herilala Miangaly,Toliara,School_62,admis,passable,A1
25470-AKGJ,Raharimanana Hasina Soa Mamy Rina,Mahajanga,School_10,admis,passable,D
54597-JXYF,Raharimanana Rina Fanilo Hasina Finaritra,Ambatondrazaka,School_26,admis,très bien,A2
32987-DHHK,Raharimanana Tojo Miangaly Haja,Toamasina,School_20,non admis,passable,A2
83872-VMGL,Rasolofo Rina Fanilo Herilala Tovo,Antsiranana,School_3,admis,passable,C
85600-ZHYX,Rasolofo Hery Rina Finaritra Haja,Farafangana,School_100,non admis,passable,A2
28107-CYLS,Randrianarivelo Hasina Tojo Fanilo Finaritra,Mananjary,School_84,admis,bien,D
20361-QVYA,Randria Herilala Andry Miangaly Tojo,Antananarivo,School_53,admis,passable,D
94649-AKOQ,Randrianarivelo Hery Mamy,Fianarantsoa,School_19,admis,passable,A2
93738-OKIE,Rasolofoson Miangaly Soa Tojo,Toamasina,School_55,admis,passable,D
58823-DWYV,Rasolofoson Hery Tojo Tovo,Farafangana,School_36,admis,très bien,A2
30603-EBAH,Randria Haja Fanilo Hasina Rina,Antananarivo,School_31,admis,passable,A1
90082-SCDO,Randria Haja Andry,Antsirabe,School_62,non admis,passable,A2
48458-LGCB,Randrianarivelo Soa Finaritra Tovo,Antsirabe,School_31,non admis,passable,A2
95969-RXXM,Rakotomamonjy Mamy Soa Tovo Miangaly,Toliara,School_31,non admis,passable,A2
95923-LLLU,Randrianarivelo Fitiavana Hery,Mananjary,School_6,admis,passable,A2
48993-IZZA,Raharimanana Miangaly Fitiavana Tojo Soa,Mahajanga,School_98,non admis,passable,OSE
98744-XOYP,Andrianarivo Herilala Tiana Fitiavana Miangaly,Mananjary,School_2,admis,passable,A1
28020-MEYM,Rakotomamonjy Tiana Hasina Herilala,Mananjary,School_36,non admis,passable,A1
55805-IHUV,Raharimanana Tiana Tovo Hasina,Fianarantsoa,School_8,admis,passable,C
81572-GHKL,Andrianarivo Finaritra Fanilo,Ambatondrazaka,School_5,non admis,passable,A1
96190-JAFD,Andrianarivo Rina Haja,Antananarivo,School_81,non admis,passable,S
62069-IVFE,Rakotoarisoa Tiana Herilala Hasina Finaritra,Mahajanga,School_51,non admis,assez bien,A1
76485-OMRA,Rajaonarison Soa Hery Tiana Mamy,Toliara,School_46,non admis,passable,A2
50355-DQXM,Rasolofoson Fitiavana Tiana Tojo Miangaly,Antsiranana,School_100,non admis,passable,A1
98080-WWMU,Raharinaivo Hasina Mamy Soa Hery,Antsirabe,School_32,non admis,passable,A2
66144-UQIJ,Rajaonarison Haja Tojo Hasina Herilala,Morondava,School_52,non admis,passable,A2
64068-NNAL,Randrianarivelo Tojo Hery Haja Finaritra,Mananjary,School_58,non admis,passable,A1
20217-MMJO,Andrianarivo Soa Hasina Fanilo Tovo,Mahajanga,School_46,non admis,passable,A1
63974-YYZA,Rasolofo Soa Rina Haja,Mahajanga,School_21,admis,passable,A1
29560-HFOA,Randrianarivelo Finaritra Mamy Miangaly,Fianarantsoa,School_5,admis,passable,A2
11969-DAIJ,Rajaonarison Fitiavana Miangaly Haja,Mananjary,School_35,admis,passable,A1
24417-NNAM,Rasolofoson Tiana Fanilo Finaritra Herilala,Mahajanga,School_22,admis,passable,A1
82767-FFAZ,Randria Soa Finaritra Miangaly,Mahajanga,School_45,admis,passable,A2
96169-KOMR,Randria Miangaly Finaritra,Antsiranana,School_38,admis,passable,A2
17752-BYAK,Rajaonarison Mamy Fitiavana,Ambatondrazaka,School_91,non admis,assez bien,A2
88220-RBRW,Raharimanana Hasina Mamy Tiana Hery,Mahajanga,School_15,admis,passable,A1
67297-MDCD,Rajaonarison Mamy Miangaly Tojo,Antsirabe,School_68,admis,passable,A2
75562-LLEC,Randria Soa Tiana Tojo,Antsirabe,School_2,admis,passable,C
84690-GRQB,Raharinaivo Tojo Soa,Farafangana,School_85,admis,passable,A1
50795-BDEF,Randria Tovo Tojo,Antananarivo,School_83,admis,passable,A1
11662-WRYU,Rakotomamonjy Tiana Hery Soa Miangaly,Toamasina,School_60,admis,passable,C
50923-RPCR,Raharimanana Miangaly Tovo,Fianarantsoa,School_99,non admis,passable,A1
46444-LBJG,Rakotomamonjy Herilala Mamy Tojo Hery,Toamasina,School_56,non admis,passable,A2
60998-WLTT,Rakotoarisoa Hasina Miangaly Rina Finaritra,Farafangana,School_10,admis,très bien,L
67501-QPDB,Andrianarivo Herilala Tiana Hery,Toamasina,School_27,non admis,passable,A2
39568-JYHM,Rakotomamonjy Miangaly Rina Fanilo,Toliara,School_17,admis,passable,A1
46980-DEMK,Rakotomamonjy Tojo Tiana Fitiavana,Farafangana,School_32,admis,passable,A1
60642-GUIQ,Rajaonarison Finaritra Andry Herilala,Antsirabe,School_2,non admis,passable,A2
47143-QZTS,Randrianarivelo Soa Herilala,Toliara,School_3,non admis,passable,A1
43307-YPFD,Andrianarivo Tovo Andry,Morondava,School_32,admis,assez bien,D
74135-GUAR,Rasolofoson Andry Fitiavana Finaritra Hasina,Fianarantsoa,School_63,non admis,passable,A1
78188-OPHA,Rasolofoson Mamy Andry Herilala Tojo,Toamasina,School_34,non admis,assez bien,A1
34467-RRCC,Raharinaivo Hasina Finaritra,Mahajanga,School_100,non admis,passable,A1
96929-JDSQ,Randrianarivelo Finaritra Hery Andry,Toliara,School_4,admis,passable,A2
55158-VIQF,Raharinaivo Finaritra Herilala Tovo Fanilo,Farafangana,School_85,admis,passable,A2
88476-MCUC,Rasolofoson Miangaly Herilala Hasina,Mananjary,School_85,non admis,passable,A1
18189-YOSH,Rajaonarison Soa Rina,Fianarantsoa,School_96,non admis,bien,D
67928-TORE,Rakotomamonjy Andry Hery Hasina,Morondava,School_34,admis,passable,A1
25260-NIJX,Raharimanana Andry Hasina Rina,Antsirabe,School_83,admis,assez bien,D
94454-QQSL,Rajaonarison Tovo Soa Rina Tojo,Mananjary,School_97,admis,passable,A2
70128-YXVM,Rasolofoson Hery Rina Finaritra,Antsiranana,School_21,admis,passable,A1
97009-TPCP,Rakotoarisoa Soa Andry,Antananarivo,School_33,admis,passable,A1
82298-OFEF,Randrianarivelo Herilala Mamy Miangaly Andry,Fianarantsoa,School_11,non admis,assez bien,A2
40431-VPVQ,Raharimanana Fanilo Herilala,Mahajanga,School_58,non admis,passable,D
90008-XIJO,Raharinaivo Tojo Hasina Finaritra Haja,Antananarivo,School_48,non admis,bien,A2
81089-OHZM,Randrianarivelo Tiana Haja Fitiavana Finaritra,Farafangana,School_66,admis,très bien,D
65480-EFKW,Raharinaivo Tovo Hasina Soa Finaritra,Antananarivo,School_36,non admis,bien,A1
78434-XMBM,Raharinaivo Haja Tovo Tiana Tojo,Mananjary,School_22,admis,passable,A1
14698-RBOR,Rajaonarison Rina Tiana,Toamasina,School_63,admis,passable,A1
78588-OJUB,Randrianarivelo Hasina Haja Fitiavana,Farafangana,School_69,admis,passable,A2
59305-ETNR,Rakotomamonjy Hasina Tovo,Mahajanga,School_41,non admis,passable,A2
75021-OCAI,Rakotoarisoa Andry Mamy Tojo,Mananjary,School_48,non admis,passable,A2
78828-PFAV,Randria Finaritra Andry,Antananarivo,School_100,admis,passable,C
67650-XUTV,Rasolofo Mamy Hery Fanilo Tiana,Antsirabe,School_88,non admis,passable,C
15482-ZEDZ,Rasolofoson Miangaly Tiana,Mananjary,School_45,non admis,bien,D
73096-UCXJ,Randria Tiana Mamy Fitiavana,Morondava,School_67,admis,passable,A2
38465-SXPJ,Raharinaivo Fanilo Soa Mamy,Farafangana,School_88,non admis,passable,A1
58378-YHCK,Rasolofo Miangaly Hasina,Toamasina,School_16,admis,passable,D
77190-VZAG,Rasolofoson Haja Hasina Rina,Antsiranana,School_64,admis,passable,A2
96783-QMSI,Rakotoarisoa Andry Tojo,Farafangana,School_77,admis,passable,S
95550-TFPR,Raharimanana Andry Haja Tojo Fitiavana,Fianarantsoa,School_41,non admis,passable,S
75565-SSZJ,Randria Andry Mamy Miangaly Herilala,Toliara,School_36,admis,passable,A2
81711-TCHM,Raharimanana Rina Miangaly Tojo Soa,Mahajanga,School_92,admis,passable,D
45330-IGAK,Rakotomamonjy Tojo Soa Miangaly,Mahajanga,School_91,non admis,passable,A2
45686-OFOQ,Raharimanana Hery Herilala Soa Miangaly,Mahajanga,School_14,non admis,assez bien,A2
38541-OHRZ,Andrianarivo Tojo Mamy Haja Hasina,Antsirabe,School_1,non admis,passable,A2
88377-VJFB,Andrianarivo Tiana Rina Haja,Fianarantsoa,School_13,non admis,passable,L
82499-RVJO,Andrianarivo Andry Herilala,Farafangana,School_58,admis,passable,D
83674-DBMF,Andrianarivo Hasina Rina Andry,Antsirabe,School_42,admis,passable,A1
