matricule,name,cisco,studied_at,observation,mention,option
20958-SOJU,Raharimanana Tojo Herilala Haja Miangaly,Farafangana,School_29,non admis,très bien,L
81764-NNEM,Rakotomamonjy Rina Andry Herilala,Fianarantsoa,School_88,admis,passable,A2
99298-WAOE,Rasolofoson Fanilo Finaritra,Toliara,School_45,admis,passable,C
30959-FLIV,Rasolofoson Finaritra Hery Miangaly,Toliara,School_2,admis,bien,A1
95373-WPXK,Andrianarivo Soa Hasina Mamy,Mananjary,School_26,admis,passable,A1
86823-QFBN,Randrianarivelo Soa Miangaly,Toliara,School_74,non admis,passable,A1
20311-JHOX,Raharimanana Tovo Fitiavana Rina Tojo,Fianarantsoa,School_17,admis,passable,A1
47734-WQVP,Andrianarivo Hery Hasina Fitiavana,Toamasina,School_16,non admis,passable,A1
46472-XKIA,Rakotomamonjy Andry Tojo Rina Tiana,Toamasina,School_88,non admis,passable,C
29714-FBCM,Rasolofo Finaritra Hery,Toliara,School_19,admis,passable,A1
31180-JQRV,Rakotoarisoa Mamy Herilala Fitiavana Tovo,Antsiranana,School_19,admis,passable,A2
30837-YOVL,Randria Tovo Soa Haja Rina,Toamasina,School_55,non admis,passable,C
51566-CLEQ,Rakotoarisoa Herilala Fitiavana,Toliara,School_26,admis,passable,L
83305-TKQQ,Randria Miangaly Fitiavana,Mananjary,School_37,admis,passable,A1
43010-HOPK,Raharimanana Andry Fitiavana Haja Miangaly,Mahajanga,School_31,admis,passable,OSE
90984-FUTD,Andrianarivo Hery Haja Fitiavana Finaritra,Ambatondrazaka,School_21,non admis,passable,D
38483-HLQC,Raharinaivo Haja Mamy Tovo Finaritra,Ambatondrazaka,School_55,non admis,passable,S
79593-NTWB,Andrianarivo Miangaly Tovo Hery Andry,Antananarivo,School_42,admis,passable,A2
21682-KYFK,Randria Rina Hasina,Mahajanga,School_54,non admis,passable,A2
65511-GAJR,Rajaonarison Rina Miangaly,Morondava,School_93,admis,passable,S
40763-WZBT,Randria Miangaly Soa,Morondava,School_40,non admis,passable,C
12812-TWRX,Andrianarivo Tiana Andry,Antsirabe,School_53,non admis,passable,A1
86336-QUPJ,Randria Tojo Rina,Fianarantsoa,School_10,non admis,passable,A2
28461-PGON,Randria Herilala Hery,Mananjary,School_95,non admis,passable,A1
84017-ZCWA,Rasolofoson Soa Finaritra Miangaly Hery,Antsirabe,School_75,non admis,passable,A1
54762-ZWCX,Raharimanana Haja Tojo Soa Tiana,Antsiranana,School_85,admis,passable,A1
12933-AQFT,Rakotomamonjy Fanilo Finaritra,Fianarantsoa,School_87,admis,passable,OSE
46721-BQVM,Andrianarivo Mamy Hasina,Fianarantsoa,School_21,non admis,passable,L
