matricule,name,cisco,studied_at,observation,mention,option
17248-TFJZ,Rasolofoson Miangaly Tovo Mamy Fitiavana,Fianarantsoa,School_1,non admis,passable,A1
73718-NLOS,Rajaonarison Hery Fitiavana,Antananarivo,School_83,non admis,passable,A1
45593-ZQBG,Rasolofoson Miangaly Herilala,Fianarantsoa,School_67,non admis,passable,A1
91533-KJKN,Rajaonarison Soa Miangaly Finaritra Andry,Morondava,School_8,non admis,bien,A1
52359-BHWA,Rasolofo Haja Tojo Hasina Tovo,Toamasina,School_30,non admis,passable,A1
63427-WEYP,Rasolofo Tojo Hasina Fanilo Haja,Farafangana,School_4,admis,bien,A2
19626-UMMB,Rajaonarison Herilala Haja Fanilo Andry,Ambatondrazaka,School_96,admis,passable,A2
64912-UYOI,Andrianarivo Fitiavana Tovo Herilala,Mananjary,School_82,non admis,passable,A1
35565-DJGV,Randrianarivelo Herilala Rina Hasina,Antsiranana,School_59,non admis,passable,D
81101-AFXP,Andrianarivo Rina Finaritra,Ambatondrazaka,School_23,non admis,passable,L
85044-PXBQ,Raharinaivo Mamy Herilala,Toliara,School_1,non admis,passable,A1
47509-WLKI,Rasolofo Andry Tiana Tovo,Antsiranana,School_3,admis,passable,A2
40878-QXGO,Rakotomamonjy Haja Finaritra Soa,Antsirabe,School_34,non admis,passable,L
63552-XOVW,Raharinaivo Fanilo Haja Mamy Andry,Ambatondrazaka,School_74,non admis,passable,A2
28492-PARC,Rajaonarison Finaritra Tojo Tiana Soa,Toliara,School_72,non admis,passable,A2
25345-OMIR,Randrianarivelo Fitiavana Andry Hery Tiana,Morondava,School_69,non admis,passable,A1
21759-MJGD,Raharinaivo Rina Hasina Miangaly,Fianarantsoa,School_63,admis,passable,A2
63320-XWKU,Raharinaivo Tiana Soa,Toliara,School_2,non admis,passable,A1
51390-VLOZ,Randria Finaritra Rina Herilala,Farafangana,School_3,non admis,passable,L
14706-WJWJ,Randrianarivelo Tojo Mamy Andry Tovo,Farafangana,School_41,non admis,passable,A2
53059-CVWC,Rajaonarison Tiana Hery Fitiavana,Antsiranana,School_60,admis,passable,C
73436-DWNS,Raharinaivo Tovo Andry,Farafangana,School_50,admis,bien,C
44486-VNKS,Rasolofo Tojo Fanilo Finaritra,Fianarantsoa,School_32,admis,passable,A2
26389-JRVB,Raharimanana Fanilo Hasina Tovo,Antsiranana,School_75,non admis,passable,S
69329-LGEQ,Rakotoarisoa Mamy Soa Finaritra Miangaly,Antsirabe,School_71,non admis,passable,A2
14203-WOUC,Raharimanana Soa Hery Hasina,Mananjary,School_51,admis,bien,A1
79764-QASD,Rakotoarisoa Soa Tiana,Ambatondrazaka,School_2,admis,passable,A1
62281-UGIB,Rakotoarisoa Tovo Fanilo,Fianarantsoa,School_8,non admis,passable,OSE
31964-INJN,Rajaonarison Tojo Herilala Fanilo Hasina,Mananjary,School_58,admis,assez bien,A1
99486-DIUA,Rasolofo Haja Fanilo,Ambatondrazaka,School_31,non admis,passable,D
52064-BTNH,Rakotoarisoa Fanilo Mamy Andry Rina,Antananarivo,School_78,non admis,passable,A1
11687-TZHI,Raharinaivo Tiana Finaritra Miangaly,Mananjary,School_1,non admis,passable,D
58833-LXLO,Randrianarivelo Tojo Fanilo Haja,Antananarivo,School_51,admis,bien,OSE
19300-NPPM,Randrianarivelo Tojo Hery Mamy Fitiavana,Toamasina,School_42,non admis,passable,A2
11262-MFTB,Rasolofo Finaritra Soa,Mahajanga,School_34,admis,passable,A1
49642-JGMS,Randria Andry Hasina,Mahajanga,School_32,non admis,passable,A1
73602-SBWD,Andrianarivo Herilala Andry Hery Fanilo,Morondava,School_70,non admis,très bien,A1
73897-ICUU,Andrianarivo Hasina Soa Tojo,Ambatondrazaka,School_22,admis,passable,OSE
78772-ZBMZ,Randrianarivelo Hery Andry Tovo Tiana,Antsiranana,School_61,admis,passable,A1
38254-XCMH,Rajaonarison Tojo Rina Tiana,Antananarivo,School_71,non admis,passable,A2
82071-MGPH,Randria Mamy Tovo,Toliara,School_29,non admis,passable,A2
42197-KCSD,Rakotomamonjy Andry Rina Finaritra Fanilo,Antsiranana,School_1,admis,passable,A1
81814-NQND,Randria Finaritra Soa,Toliara,School_45,admis,assez bien,S
53011-BBIZ,Rasolofoson Soa Fanilo,Ambatondrazaka,School_72,admis,passable,A2
20065-SQPY,Andrianarivo Haja Tojo,Mananjary,School_75,admis,passable,A1
46543-GXYH,Rasolofoson Fitiavana Soa Tojo Finaritra,Toliara,School_52,admis,passable,A2
97280-BGPM,Randria Herilala Andry Tovo Miangaly,Mahajanga,School_47,admis,passable,A2
29669-VEUI,Raharinaivo Hery Fitiavana Tovo Fanilo,Toliara,School_58,non admis,passable,C
67776-EUOP,Randrianarivelo Haja Soa,Morondava,School_62,non admis,passable,A2
75336-OCVO,Randria Rina Andry Hasina,Antsirabe,School_11,admis,passable,A1
52407-DWXZ,Rakotoarisoa Tovo Hery Hasina,Morondava,School_100,non admis,passable,A2
94421-JGFS,Raharinaivo Hasina Finaritra Herilala,Mananjary,School_66,non admis,passable,A1
68205-XSET,Randria Herilala Tiana Miangaly Hasina,Antsirabe,School_75,non admis,passable,A1
77264-TVEU,Rakotoarisoa Rina Haja Soa Hasina,Antsiranana,School_95,non admis,passable,A2
53492-LHHO,Rasolofoson Mamy Haja Andry,Mananjary,School_24,non admis,passable,C
83560-PZXP,Rasolofoson Hasina Soa,Mahajanga,School_57,admis,assez bien,C
70010-WGSU,Rajaonarison Soa Andry,Antananarivo,School_13,admis,passable,A2
17952-DXVL,Rasolofoson Fanilo Rina Hery,Ambatondrazaka,School_43,non admis,passable,A2
44920-ETKW,Raharinaivo Tovo Herilala,Mananjary,School_88,non admis,bien,A2
81286-UNQC,Rajaonarison Tojo Hasina Herilala,Antananarivo,School_23,non admis,passable,A2
93493-JYUS,Rakotomamonjy Finaritra Andry,Morondava,School_45,admis,passable,A1
86081-WZRM,Raharimanana Andry Fanilo Fitiavana Mamy,Antananarivo,School_96,admis,passable,D
94203-SYGF,Andrianarivo Rina Soa Fanilo Mamy,Ambatondrazaka,School_21,non admis,passable,S
31734-JJQR,Raharinaivo Herilala Fitiavana,Antananarivo,School_59,admis,passable,A2
53995-DFKY,Randrianarivelo Tiana Fitiavana Hasina Tovo,Toliara,School_29,non admis,passable,A1
20102-HDQZ,Randria Hery Soa Tiana,Toamasina,School_1,non admis,passable,A1
40291-ETRD,Raharimanana Rina Haja,Antsiranana,School_53,non admis,passable,A1
52729-HMMU,Rasolofoson Haja Andry Rina,Mananjary,School_62,non admis,passable,A1
52897-PKHB,Raharinaivo Finaritra Soa,Antananarivo,School_22,non admis,passable,C
39579-YVRU,Rajaonarison Tiana Mamy Hasina Tojo,Farafangana,School_57,non admis,passable,D
81837-XZWI,Rajaonarison Finaritra Tiana,Toliara,School_17,non admis,passable,A1
40763-TURL,Randria Miangaly Fanilo Fitiavana Rina,Ambatondrazaka,School_65,non admis,passable,A2
62240-DGMA,Raharinaivo Haja Miangaly,Toliara,School_87,admis,passable,A2
44888-BFYI,Rasolofo Tiana Fitiavana,Ambatondrazaka,School_19,non admis,passable,A2
44650-KWPT,Rajaonarison Haja Mamy,Ambatondrazaka,School_63,non admis,bien,A2
57203-HZUH,Randrianarivelo Tovo Hasina Haja Rina,Ambatondrazaka,School_26,non admis,passable,S
58098-IYIJ,Randria Tovo Hery,Ambatondrazaka,School_68,admis,passable,A1
99230-GUMV,Raharimanana Herilala Hery Miangaly Fitiavana,Farafangana,School_59,admis,passable,D
95232-LCAQ,Andrianarivo Hery Fitiavana,Fianarantsoa,School_16,non admis,passable,A1
92916-QVSP,Raharinaivo Hasina Mamy,Toamasina,School_55,non admis,passable,A1
65813-USKA,Rasolofo Rina Fitiavana Tovo Mamy,Toliara,School_54,admis,passable,A2
31856-UOYJ,Rakotomamonjy Tovo Haja Hery Finaritra,Antsiranana,School_66,non admis,passable,A2
57262-GXFO,Rasolofoson Tojo Hery Hasina Tovo,Antsiranana,School_35,non admis,passable,A1
56849-TGFG,Rasolofoson Hasina Fitiavana Tojo,Farafangana,School_34,admis,passable,A1
80413-ZTNB,Andrianarivo Hasina Tovo Fitiavana,Mahajanga,School_90,non admis,passable,A2
22346-ZQQF,Rasolofo Miangaly Hasina Finaritra Tiana,Farafangana,School_43,non admis,passable,A2
41918-QQSF,Rakotoarisoa Herilala Haja Soa Andry,Mananjary,School_85,admis,bien,A1
73417-ABBL,Rakotoarisoa Miangaly Hasina Tojo Soa,Antananarivo,School_81,non admis,passable,S
80028-ASAL,Raharinaivo Tovo Rina Fitiavana Haja,Farafangana,School_34,non admis,bien,L
82519-JSBM,Rajaonarison Mamy Hery Tojo,Toliara,School_43,non admis,passable,A1
66341-ZRLK,Andrianarivo Tojo Soa Herilala Tovo,Morondava,School_63,non admis,très bien,OSE
