matricule,name,cisco,studied_at,observation,mention,option
76888-DFRA,Randria Mamy Herilala,Antsirabe,School_87,admis,passable,A2
39754-BPQP,Raharinaivo Soa Andry Fanilo,Antananarivo,School_83,non admis,passable,OSE
21220-EKEA,Rasolofo Tovo Miangaly,Antsiranana,School_48,non admis,très bien,D
25756-LFSS,Rajaonarison Tiana Fitiavana Hery Haja,Ambatondrazaka,School_37,admis,bien,A1
11458-GPAU,Rajaonarison Herilala Soa Andry,Ambatondrazaka,School_71,non admis,passable,OSE
67410-AMYV,Rajaonarison Andry Herilala Soa Hasina,Ambatondrazaka,School_54,admis,passable,D
26634-XDXL,Rakotomamonjy Fitiavana Finaritra,Antananarivo,School_13,admis,passable,OSE
40124-CYCI,Rasolofoson Herilala Hasina,Antananarivo,School_52,non admis,assez bien,D
41690-HAHQ,Raharimanana Tojo Tiana,Antsiranana,School_33,admis,passable,A1
44360-FPPR,Randria Rina Fitiavana,Farafangana,School_88,non admis,très bien,A1
99120-TMWG,Rakotomamonjy Andry Tovo Hery Tojo,Fianarantsoa,School_46,admis,passable,L
74854-UCQW,Andrianarivo Hasina Fanilo,Morondava,School_67,non admis,passable,A2
94402-WLDN,Randria Finaritra Andry Rina Fanilo,Morondava,School_79,admis,passable,C
17411-ABJH,Raharimanana Haja Soa,Mananjary,School_82,non admis,passable,A1
54069-ACOS,Rasolofoson Fitiavana Tiana,Toamasina,School_64,non admis,passable,A1
98362-PBXT,Randrianarivelo Tiana Miangaly Rina Fanilo,Mahajanga,School_86,non admis,passable,C
82185-TXCD,Rasolofo Tojo Fanilo Tiana,Antsirabe,School_29,non admis,passable,OSE
30445-TIZI,Andrianarivo Soa Finaritra Tiana,Farafangana,School_38,admis,passable,A2
94113-YHSG,Rasolofo Andry Hasina,Farafangana,School_90,non admis,passable,A2
25994-UMTT,Rajaonarison Andry Haja,Mahajanga,School_46,admis,bien,A2
19928-YXPG,Randria Finaritra Tojo,Fianarantsoa,School_52,admis,passable,A2
87476-GUNR,Randrianarivelo Finaritra Tiana,Fianarantsoa,School_94,non admis,passable,A1
81978-ZGBX,Randrianarivelo Tovo Rina,Mananjary,School_42,admis,assez bien,A2
92037-ZSTT,Raharimanana Herilala Tovo,Mananjary,School_7,non admis,passable,A2
29977-YEIA,Andrianarivo Miangaly Fitiavana,Mananjary,School_86,non admis,passable,A2
87710-TVPJ,Raharimanana Miangaly Soa Finaritra,Fianarantsoa,School_49,non admis,passable,A1
79073-ZRUE,Raharimanana Tovo Herilala,Antsiranana,School_85,non admis,passable,A2
47114-MZUY,Rakotoarisoa Hasina Miangaly Finaritra,Antsiranana,School_95,admis,passable,C
26213-MYZC,Raharimanana Haja Tiana,Antsiranana,School_5,non admis,très bien,S
94964-YDWG,Rasolofo Tiana Hery Andry Hasina,Morondava,School_91,admis,passable,A1
33349-SLYV,Rakotomamonjy Hery Haja Fitiavana,Farafangana,School_5,non admis,passable,A2
86080-LPSN,Randria Hery Fanilo Hasina Finaritra,Antsirabe,School_90,admis,passable,A2
47272-KNAP,Rasolofo Haja Soa Miangaly Finaritra,Toliara,School_21,non admis,bien,A2
35817-ACUC,Raharinaivo Fanilo Miangaly Hasina Finaritra,Mahajanga,School_30,non admis,passable,D
76975-HPPN,Randria Tiana Hasina Soa Tojo,Antsirabe,School_98,non admis,bien,A2
70919-FAZR,Rajaonarison Mamy Rina,Mahajanga,School_25,admis,passable,D
13412-OKTW,Raharimanana Finaritra Tojo,Toliara,School_86,admis,très bien,A2
23964-YAJM,Andrianarivo Hery Andry Tovo Herilala,Mahajanga,School_14,non admis,passable,C
56290-ZIRF,Raharimanana Haja Fanilo Herilala,Antsiranana,School_40,non admis,passable,D
16589-OYNP,Raharinaivo Andry Haja Tiana Mamy,Toamasina,School_43,admis,bien,A1
68233-ZHWK,Rakotoarisoa Tojo Tiana,Antsiranana,School_34,non admis,passable,A1
84045-CNYL,Raharinaivo Finaritra Haja Rina,Fianarantsoa,School_45,non admis,passable,A2
97821-OXDY,Andrianarivo Rina Miangaly Tiana Andry,Toliara,School_23,non admis,très bien,A2
72067-ZIFS,Andrianarivo Tojo Haja Soa,Toliara,School_90,admis,passable,A2
27948-YWQN,Rakotoarisoa Tojo Mamy Rina,Farafangana,School_70,non admis,passable,A2
19182-CSEF,Rakotoarisoa Tojo Hasina,Toamasina,School_64,non admis,passable,A2
22206-VTDK,Rasolofoson Miangaly Fanilo,Antsiranana,School_1,non admis,assez bien,A1
35342-FDPW,Randria Fitiavana Andry Hasina,Fianarantsoa,School_75,admis,passable,A1
12994-LJJH,Raharimanana Finaritra Soa,Fianarantsoa,School_15,non admis,passable,A1
46830-YYHZ,Raharimanana Herilala Fitiavana Andry,Mananjary,School_20,non admis,passable,L
47374-ZGCP,Rakotoarisoa Fitiavana Tovo Rina,Toliara,School_57,non admis,passable,OSE
98143-ZCUR,Randrianarivelo Finaritra Miangaly Haja Hery,Ambatondrazaka,School_13,non admis,bien,A2
34437-SWCS,Andrianarivo Mamy Soa,Antsirabe,School_58,non admis,bien,A2
36499-RECL,Rakotomamonjy Finaritra Miangaly Rina,Ambatondrazaka,School_97,non admis,assez bien,A2
68147-CXQJ,Rajaonarison Miangaly Tiana Finaritra,Ambatondrazaka,School_100,non admis,passable,A2
56801-XNBP,Raharinaivo Fitiavana Finaritra,Antsiranana,School_15,non admis,passable,A1
14875-KZYN,Rasolofo Hasina Tojo,Fianarantsoa,School_49,non admis,bien,A2
20902-IWXE,Raharimanana Mamy Tojo Haja,Fianarantsoa,School_80,non admis,passable,A2
68730-ELSD,Andrianarivo Rina Hery Mamy Fitiavana,Antananarivo,School_98,non admis,passable,A1
73715-HWAI,Raharinaivo Miangaly Rina Hasina Hery,Toliara,School_75,admis,passable,A2
58102-PHGV,Rakotoarisoa Hery Fitiavana Mamy Haja,Toamasina,School_24,non admis,passable,D
91283-KJML,Rajaonarison Finaritra Fitiavana Tiana,Morondava,School_49,non admis,passable,A1
32863-WYAM,Rajaonarison Hery Mamy Rina Hasina,Antsiranana,School_19,non admis,passable,A2
78947-FLTA,Raharimanana Soa Haja,Morondava,School_3,non admis,très bien,D
18219-FLVZ,Rakotoarisoa Fitiavana Tovo,Antsirabe,School_56,non admis,bien,A2
41879-NIJC,Rasolofo Hasina Mamy Tojo Herilala,Mahajanga,School_73,admis,passable,A1
54444-YVXI,Rakotomamonjy Fitiavana Finaritra Herilala Hery,Ambatondrazaka,School_51,non admis,passable,A2
10280-YNLC,Randrianarivelo Herilala Andry,Fianarantsoa,School_93,non admis,passable,C
69886-KEZB,Rasolofo Soa Rina Miangaly Tiana,Mananjary,School_84,admis,passable,A1
41753-JWPW,Rasolofo Hasina Herilala Mamy,Morondava,School_62,non admis,passable,A2
90729-QXBE,Rasolofoson Mamy Rina Tojo Soa,Antsirabe,School_46,admis,passable,A2
90716-XGTF,Raharimanana Tiana Rina Hery,Mahajanga,School_14,non admis,assez bien,A2
60182-VAXN,Raharinaivo Tojo Rina Tiana,Mahajanga,School_52,admis,passable,A2
92102-RGNT,Rasolofoson Herilala Mamy Fanilo,Antsirabe,School_15,non admis,assez bien,D
15253-YCMW,Rajaonarison Andry Tiana,Mananjary,School_74,non admis,passable,A1
58489-LNGV,Randria Miangaly Herilala Tovo,Mahajanga,School_42,non admis,passable,A2
79208-JBZH,Randria Tiana Haja Hery Tovo,Mananjary,School_46,non admis,passable,A1
70899-HQJV,Rasolofoson Tiana Andry,Mahajanga,School_54,non admis,passable,C
