matricule,name,cisco,studied_at,observation,mention,option
65778-XMGJ,Andrianarivo Hasina Miangaly Fanilo,Antsirabe,School_75,non admis,passable,A1
22943-ZHTH,Rasolofoson Miangaly Rina Tovo Fitiavana,Toliara,School_44,admis,bien,A2
14359-NJLO,Raharimanana Fitiavana Hery Miangaly Tovo,Ambatondrazaka,School_58,admis,assez bien,A1
54491-YSBK,Andrianarivo Finaritra Herilala Fitiavana Andry,Ambatondrazaka,School_28,non admis,passable,A2
65043-XZEC,Rakotoarisoa Tiana Fitiavana,Toliara,School_70,non admis,passable,A1
62928-WOXR,Andrianarivo Haja Andry Tiana Mamy,Antananarivo,School_37,non admis,bien,A2
12589-FKRK,Randrianarivelo Tiana Hasina Tovo,Antananarivo,School_84,non admis,passable,L
98318-YOVE,Andrianarivo Miangaly Hasina Finaritra,Antananarivo,School_58,non admis,passable,A2
16936-STCU,Rasolofoson Hasina Tojo Rina,Toliara,School_91,non admis,très bien,A2
84784-SJGU,Randrianarivelo Hery Haja Fanilo Miangaly,Mahajanga,School_93,admis,passable,A2
87238-KVSA,Andrianarivo Finaritra Tovo Tojo Fitiavana,Antsiranana,School_84,non admis,passable,D
47994-ZMBT,Randria Fitiavana Herilala Miangaly,Mahajanga,School_38,admis,bien,A2
44128-SCNM,Randrianarivelo Tiana Mamy Hasina Herilala,Toamasina,School_86,non admis,passable,S
55392-WEMR,Rasolofo Rina Fanilo Herilala,Toamasina,School_96,non admis,très bien,A1
72355-ERTM,Rakotomamonjy Tovo Hasina,Fianarantsoa,School_64,admis,passable,A2
92931-ZMDC,Rakotomamonjy Herilala Hery,Antsirabe,School_51,non admis,assez bien,A2
54258-NTFW,Rakotoarisoa Haja Tojo Mamy Miangaly,Fianarantsoa,School_86,non admis,assez bien,A1
77772-XBGG,Rasolofo Hery Finaritra Tojo,Antsiranana,School_77,admis,passable,A2
57265-XTVY,Rasolofoson Miangaly Tovo,Fianarantsoa,School_20,non admis,passable,A2
63132-QGGM,Rakotoarisoa Hery Tiana Fitiavana Tojo,Toamasina,School_21,admis,passable,D
27444-UMOS,Rasolofo Hasina Fanilo Tojo,Antananarivo,School_21,admis,passable,A2
65970-GSYC,Rasolofo Rina Haja Hasina,Fianarantsoa,School_7,non admis,assez bien,C
34730-RMPX,Rasolofo Mamy Soa Haja Tojo,Antananarivo,School_80,non admis,bien,A1
25612-PYBR,Randrianarivelo Tiana Herilala Hasina,Mananjary,School_50,non admis,passable,L
78205-IYVF,Raharinaivo Soa Fanilo Fitiavana,Toamasina,School_77,non admis,assez bien,A1
90400-XRGQ,Rakotoarisoa Miangaly Mamy,Farafangana,School_88,non admis,très bien,A2
30663-NUTF,Rakotoarisoa Fitiavana Hery Fanilo,Fianarantsoa,School_2,admis,passable,A2
52246-WSUS,Andrianarivo Tojo Andry,Antsirabe,School_66,admis,passable,A1
87459-IWZW,Rakotoarisoa Tovo Haja,Morondava,School_58,admis,passable,C
57580-JHNZ,Rasolofo Tovo Haja,Farafangana,School_35,non admis,passable,A1
34461-SSLR,Randria Fanilo Rina,Toamasina,School_80,non admis,passable,A1
