matricule,name,cisco,studied_at,observation,mention,option
77121-BKQS,Randrianarivelo Hasina Soa,Fianarantsoa,School_37,non admis,passable,A2
34442-BQIX,Rakotomamonjy Fitiavana Andry Fanilo,Farafangana,School_50,non admis,passable,A1
83835-MHKM,Andrianarivo Fitiavana Andry Mamy,Ambatondrazaka,School_43,non admis,assez bien,C
13084-QRWL,Randrianarivelo Rina Finaritra Hasina,Fianarantsoa,School_41,non admis,passable,A2
62534-RUZX,Raharimanana Finaritra Hery Haja,Ambatondrazaka,School_50,non admis,bien,S
59033-MYOC,Rakotoarisoa Hasina Tovo Soa Mamy,Morondava,School_72,admis,passable,A1
52164-ATZK,Rasolofoson Mamy Fanilo Hasina,Antsirabe,School_82,admis,passable,A2
66719-WKWL,Raharinaivo Herilala Finaritra Tovo Fitiavana,Toamasina,School_49,admis,passable,A1
72035-QURG,Rajaonarison Hasina Haja Rina Fanilo,Ambatondrazaka,School_46,admis,très bien,A2
92390-TGNS,Raharimanana Fanilo Soa Fitiavana Haja,Ambatondrazaka,School_15,admis,passable,D
14978-BSOW,Rasolofoson Fanilo Hasina Fitiavana,Toamasina,School_32,admis,passable,OSE
45126-MCVY,Randrianarivelo Tojo Herilala,Morondava,School_63,admis,passable,A1
44985-CAYS,Rasolofoson Tiana Finaritra Fanilo,Antsiranana,School_62,non admis,passable,A1
75186-KBEY,Rasolofo Andry Fitiavana Hery,Mananjary,School_65,admis,passable,D
74458-NHYQ,Randrianarivelo Hery Mamy Tovo Fanilo,Morondava,School_71,admis,passable,A2
23284-QHRA,Rasolofoson Mamy Fitiavana Tovo Hery,Antsirabe,School_21,non admis,bien,A2
49675-OXBR,Raharinaivo Herilala Andry,Mananjary,School_46,non admis,passable,A1
54435-TTPZ,Randria Haja Soa Finaritra Tovo,Toamasina,School_22,non admis,passable,A1
23008-MRLL,Randria Mamy Hery Herilala Fitiavana,Mananjary,School_42,non admis,passable,A1
58447-NEBS,Rajaonarison Hasina Mamy Haja,Ambatondrazaka,School_47,non admis,passable,D
25054-VEKN,Randrianarivelo Fitiavana Herilala Fanilo Hery,Farafangana,School_2,non admis,bien,A1
66489-WIPY,Rasolofoson Hery Fanilo Herilala,Ambatondrazaka,School_96,admis,passable,A1
62531-XZEH,Andrianarivo Tojo Finaritra Hery,Mananjary,School_37,admis,passable,C
60572-IWME,Rakotomamonjy Tojo Hery,Toamasina,School_93,admis,passable,C
74483-QMLR,Randrianarivelo Tiana Rina Tojo Tovo,Toamasina,School_26,non admis,passable,A2
72966-AZPP,Rajaonarison Finaritra Tovo Haja,Morondava,School_74,non admis,passable,A1
33178-HRHG,Rakotomamonjy Fitiavana Tiana,Toamasina,School_43,non admis,passable,L
50749-EUVS,Rasolofo Hery Fitiavana,Mananjary,School_16,non admis,passable,D
