matricule,name,cisco,studied_at,observation,mention,option
55705-KSXS,Rasolofo Fanilo Rina Tojo Fitiavana,Ambatondrazaka,School_57,admis,très bien,A2
76715-MLNJ,Randria Mamy Hasina Herilala Andry,Fianarantsoa,School_36,non admis,passable,A1
56209-CQIV,Rakotomamonjy Andry Mamy Rina,Antsirabe,School_43,admis,assez bien,A1
84533-AURX,Raharinaivo Tovo Herilala Tiana,Fianarantsoa,School_70,non admis,passable,A2
38429-KSWM,Rasolofo Andry Tovo Rina Herilala,Toliara,School_18,admis,passable,A1
18254-YZQD,Rakotoarisoa Mamy Fitiavana,Toliara,School_42,non admis,passable,A2
13240-DHSO,Rajaonarison Tiana Tojo Hasina,Toliara,School_30,non admis,passable,A2
23630-IPGE,Rasolofo Hasina Tojo Fanilo,Toamasina,School_70,non admis,passable,A1
64637-JWXU,Rakotoarisoa Hasina Rina Soa,Morondava,School_100,non admis,passable,A2
40087-WUEV,Rajaonarison Rina Hery,Farafangana,School_97,non admis,passable,A2
17946-SAXH,Rasolofoson Rina Miangaly Andry,Farafangana,School_89,non admis,passable,A2
73181-RXXE,Rasolofo Herilala Tiana Hasina,Mahajanga,School_15,non admis,passable,A1
69086-VUOR,Rakotomamonjy Herilala Haja Fitiavana Hery,Ambatondrazaka,School_90,non admis,bien,D
80610-OWWQ,Rakotoarisoa Rina Tovo Andry,Fianarantsoa,School_87,non admis,passable,C
23896-KQXU,Rajaonarison Miangaly Haja Herilala Fitiavana,Antsiranana,School_79,non admis,passable,D
24959-KXAV,Rasolofoson Tovo Andry Tiana,Fianarantsoa,School_11,admis,passable,A1
47445-PGIA,Raharinaivo Miangaly Tovo,Mahajanga,School_39,admis,passable,A1
27100-WWZH,Raharinaivo Finaritra Mamy Miangaly Fanilo,Antsiranana,School_21,admis,passable,C
12755-WZFJ,Randria Rina Finaritra Tojo,Mananjary,School_19,admis,passable,A1
95897-QIKH,Rasolofo Haja Fanilo Soa Andry,Toliara,School_1,admis,passable,A1
28972-WTHS,Raharimanana Andry Herilala,Toliara,School_5,non admis,bien,A1
90894-DHRG,Rakotoarisoa Hery Finaritra Andry Herilala,Mahajanga,School_89,non admis,bien,A1
39066-GFLZ,Randria Herilala Hery Rina Fitiavana,Farafangana,School_30,non admis,très bien,C
67020-TIYW,Rakotoarisoa Tojo Herilala,Mananjary,School_29,non admis,passable,A2
80883-ZIHF,Rasolofo Tovo Soa Fanilo,Toamasina,School_5,non admis,passable,A2
47877-ETTM,Andrianarivo Herilala Tiana,Ambatondrazaka,School_75,non admis,passable,A1
23478-EJCL,Raharimanana Rina Fanilo,Mahajanga,School_57,admis,passable,A1
65166-FITV,Raharimanana Rina Herilala Finaritra Andry,Mahajanga,School_93,admis,bien,D
32050-RYYR,Raharinaivo Soa Fitiavana Mamy,Antsiranana,School_87,non admis,bien,A2
93512-NHPG,Randria Miangaly Rina Herilala,Ambatondrazaka,School_91,non admis,bien,L
23284-IFOM,Randria Tojo Hery Rina Soa,Antsiranana,School_33,non admis,passable,A2
41145-TCVR,Rakotomamonjy Tojo Hasina Andry,Mananjary,School_1,non admis,passable,A2
45631-ZQEX,Randrianarivelo Mamy Tojo,Ambatondrazaka,School_34,admis,passable,A2
85946-ZJKN,Randrianarivelo Hery Tojo Mamy Fitiavana,Antsirabe,School_19,admis,passable,A2
33468-AXET,Randria Rina Haja,Toamasina,School_18,admis,passable,L
18102-DXJY,Raharinaivo Hasina Finaritra Fanilo,Antsiranana,School_47,non admis,passable,A2
96722-QSAB,Rakotoarisoa Fanilo Mamy Herilala,Antananarivo,School_68,admis,très bien,A1
25176-HFWE,Rasolofoson Fanilo Hasina,Antananarivo,School_70,admis,passable,A1
25918-TFRL,Rakotomamonjy Mamy Tojo,Morondava,School_89,admis,passable,A2
61381-YPUY,Rajaonarison Miangaly Rina Haja,Mahajanga,School_77,non admis,passable,L
51962-NRUS,Andrianarivo Fanilo Andry Fitiavana Tiana,Morondava,School_19,non admis,assez bien,C
85425-UDOV,Randrianarivelo Herilala Fitiavana Andry,Antsirabe,School_92,admis,très bien,A2
60798-DDKQ,Randrianarivelo Hery Tovo Haja,Antsiranana,School_98,admis,passable,A2
24770-GSTV,Randrianarivelo Rina Fanilo Fitiavana Mamy,Toamasina,School_68,non admis,passable,L
79564-HIXI,Randria Miangaly Mamy Finaritra,Morondava,School_94,admis,assez bien,A1
47994-UBUK,Rajaonarison Finaritra Mamy,Antsiranana,School_35,admis,bien,D
97755-MDSP,Andrianarivo Haja Herilala Hery,Mahajanga,School_40,non admis,passable,A1
10294-ROCO,Andrianarivo Tovo Rina Miangaly,Morondava,School_92,non admis,bien,C
44414-JJGB,Randrianarivelo Andry Hasina Finaritra Miangaly,Morondava,School_55,non admis,passable,A2
80849-VOWQ,Raharinaivo Andry Haja,Antananarivo,School_39,non admis,passable,C
11990-ZVST,Randria Finaritra Tiana Rina,Antananarivo,School_24,admis,passable,A1
58874-IZQX,Rasolofo Tojo Rina Hasina,Mahajanga,School_22,non admis,passable,L
33802-GFMX,Rajaonarison Hery Herilala,Antsirabe,School_13,admis,très bien,A1
98294-VCWZ,Randrianarivelo Fitiavana Mamy,Morondava,School_85,non admis,passable,C
51735-REUL,Randrianarivelo Fitiavana Tiana Haja Miangaly,Toamasina,School_94,admis,passable,S
21467-FELN,Raharimanana Hery Miangaly Tovo Hasina,Ambatondrazaka,School_74,non admis,passable,D
39075-FUOJ,Rajaonarison Soa Tiana Hery,Morondava,School_5,admis,passable,D
53849-JZSP,Rakotomamonjy Andry Tovo Hasina Soa,Antsiranana,School_6,non admis,passable,C
43188-LRPK,Rasolofoson Finaritra Hery Hasina,Antananarivo,School_9,admis,passable,A2
47747-YIUQ,Raharimanana Tojo Andry Soa,Morondava,School_22,admis,bien,C
54898-CQNF,Rakotoarisoa Rina Hasina Haja,Toamasina,School_62,non admis,passable,OSE
17261-MJWY,Andrianarivo Miangaly Fanilo Hery,Toamasina,School_16,non admis,bien,A2
73788-EDEM,Andrianarivo Tojo Fitiavana,Antsiranana,School_76,non admis,passable,A1
72686-ZTDB,Rasolofo Soa Fitiavana Tiana Haja,Ambatondrazaka,School_66,admis,passable,A1
52564-DYNW,Raharimanana Hasina Hery Tovo,Antananarivo,School_54,non admis,passable,A2
33628-WCOK,Rakotoarisoa Tojo Soa Fitiavana Andry,Ambatondrazaka,School_85,non admis,passable,A1
59691-WRKK,Rasolofoson Tojo Tovo Mamy Haja,Mananjary,School_49,admis,passable,A1
46922-BIMV,Rajaonarison Hasina Hery,Farafangana,School_88,non admis,assez bien,A1
26910-EQYU,Andrianarivo Haja Tiana Herilala Soa,Toamasina,School_65,non admis,passable,A2
53226-HOON,Raharinaivo Haja Fanilo Soa Hery,Toliara,School_4,non admis,passable,A2
42001-SZZW,Rasolofo Tovo Andry Haja,Fianarantsoa,School_71,non admis,passable,A2
74447-THUU,Rakotoarisoa Hasina Rina,Mahajanga,School_38,non admis,très bien,C
27426-RLTG,Rasolofo Herilala Finaritra Mamy Andry,Fianarantsoa,School_78,non admis,bien,D
79097-NISH,Raharinaivo Hasina Hery,Mananjary,School_92,admis,passable,A2
12665-KZNF,Rakotomamonjy Herilala Andry,Antsirabe,School_76,admis,passable,A2
98730-GZRL,Rakotoarisoa Soa Tojo,Ambatondrazaka,School_98,non admis,passable,A2
77244-JPIK,Rasolofoson Haja Tovo Tojo Fitiavana,Ambatondrazaka,School_34,non admis,passable,A2
85029-GGTI,Rajaonarison Hery Rina Finaritra Mamy,Antananarivo,School_88,non admis,passable,A1
59951-YRDC,Rakotomamonjy Tovo Herilala,Toliara,School_27,non admis,passable,A1
76678-AZMX,Raharinaivo Herilala Hasina,Ambatondrazaka,School_82,admis,passable,A1
38642-QOEJ,Rakotomamonjy Tiana Fitiavana,Toamasina,School_8,non admis,passable,C
23487-PVLA,Rasolofo Miangaly Tojo,Antananarivo,School_80,non admis,assez bien,A1
66767-FBAR,Randria Andry Hasina Mamy Soa,Farafangana,School_10,admis,bien,A1
86259-FHRO,Randrianarivelo Finaritra Tojo,Mahajanga,School_72,non admis,passable,S
99996-ELHZ,Raharinaivo Haja Finaritra Hery,Mahajanga,School_70,non admis,passable,C
92777-JRWW,Rasolofo Tovo Miangaly Fitiavana,Antsirabe,School_61,admis,passable,A2
84034-UHSX,Rasolofoson Miangaly Hery Haja Soa,Mananjary,School_17,non admis,passable,A2
82086-AHSP,Rajaonarison Miangaly Haja Finaritra,Toamasina,School_87,admis,bien,D
84523-MEUU,Randrianarivelo Fitiavana Tojo Hasina Tovo,Toamasina,School_42,non admis,passable,C
39515-NTFG,Rakotoarisoa Mamy Herilala Rina Miangaly,Toamasina,School_72,admis,très bien,A1
15235-YMYH,Andrianarivo Hasina Andry Tojo,Morondava,School_19,admis,passable,D
58305-BQQM,Rakotoarisoa Herilala Tojo Tovo,Toliara,School_80,non admis,passable,A2
14789-SNJR,Rakotoarisoa Haja Rina,Farafangana,School_81,admis,passable,A2
56218-UFZA,Andrianarivo Herilala Fanilo Finaritra Rina,Antsiranana,School_67,non admis,très bien,A2
52456-WYEG,Randrianarivelo Miangaly Fitiavana Tovo Tojo,Antsiranana,School_54,non admis,passable,A2
54182-SDHA,Raharinaivo Andry Fanilo Miangaly Mamy,Ambatondrazaka,School_62,admis,passable,D
63834-RWEZ,Raharimanana Finaritra Rina Herilala,Mahajanga,School_50,non admis,passable,D
64989-QGRX,Raharimanana Hery Finaritra Rina Miangaly,Toliara,School_8,non admis,passable,A1
13798-XMGS,Rakotoarisoa Tiana Miangaly Andry,Mahajanga,School_55,non admis,passable,A1
66341-BPHT,Rasolofoson Rina Hasina,Toliara,School_65,non admis,assez bien,A2
79110-DAET,Raharimanana Finaritra Rina,Ambatondrazaka,School_23,non admis,passable,L
13427-JDQU,Rasolofoson Andry Tovo,Farafangana,School_25,admis,passable,A1
23537-NWPM,Andrianarivo Miangaly Tovo Fitiavana Fanilo,Mananjary,School_69,admis,bien,D
35847-SCOT,Rakotoarisoa Fanilo Tiana Mamy,Antsiranana,School_82,non admis,passable,A2
20641-IBWU,Rakotomamonjy Finaritra Fanilo,Toliara,School_82,non admis,très bien,S
93806-PNKV,Andrianarivo Haja Tovo,Mananjary,School_72,admis,assez bien,A2
83851-QNNS,Rasolofo Rina Herilala Haja Tojo,Morondava,School_49,admis,bien,A1
96810-ZUBY,Raharinaivo Andry Finaritra,Ambatondrazaka,School_8,admis,très bien,A1
37271-WDEE,Randria Fitiavana Mamy Haja Hery,Toamasina,School_73,non admis,passable,A2
45143-GNNY,Rajaonarison Herilala Haja Mamy Andry,Fianarantsoa,School_54,non admis,passable,A1
76797-LGMH,Randrianarivelo Finaritra Herilala Haja,Antsirabe,School_88,non admis,passable,OSE
55645-GWCA,Rasolofo Tovo Fitiavana,Farafangana,School_41,non admis,passable,A2
56634-YQUC,Rasolofoson Tojo Hasina,Farafangana,School_27,admis,passable,A1
40753-FJKU,Raharinaivo Soa Hasina Hery Fanilo,Toamasina,School_43,non admis,passable,A2
99137-IYBR,Raharinaivo Rina Fanilo Herilala,Antsiranana,School_79,non admis,passable,OSE
16990-OVPK,Rakotomamonjy Finaritra Fitiavana,Toliara,School_53,non admis,passable,A2
87556-IPTK,Andrianarivo Fitiavana Andry,Mahajanga,School_9,non admis,passable,OSE
74389-QAZO,Randrianarivelo Hasina Fanilo Herilala,Antsirabe,School_64,non admis,passable,A1
65855-XDAA,Rajaonarison Andry Miangaly Fanilo Finaritra,Mananjary,School_54,admis,passable,D
21675-DWRO,Rasolofo Mamy Tojo Fitiavana,Antsiranana,School_98,admis,passable,C
97815-NTIH,Rasolofoson Tiana Finaritra Miangaly,Farafangana,School_49,admis,passable,A1
58567-MZIC,Rasolofo Miangaly Haja,Antsirabe,School_8,admis,passable,A1
91198-CBFA,Rakotoarisoa Tojo Fitiavana,Mananjary,School_64,non admis,passable,A1
10685-CJEM,Rakotomamonjy Hery Hasina Mamy,Antsirabe,School_10,non admis,assez bien,A1
79300-BAJF,Rakotomamonjy Mamy Herilala,Mananjary,School_91,non admis,bien,A2
71296-UCTS,Randrianarivelo Rina Haja Miangaly Herilala,Ambatondrazaka,School_21,non admis,passable,C
17390-MPTK,Rakotoarisoa Mamy Fitiavana Finaritra,Mananjary,School_20,non admis,passable,A2
84429-TNTL,Rasolofoson Mamy Haja Finaritra Andry,Mahajanga,School_51,admis,très bien,A1
59677-HKWZ,Raharimanana Hasina Haja Soa,Antsiranana,School_72,non admis,passable,A2
39817-DTIB,Andrianarivo Soa Finaritra Herilala Fanilo,Antananarivo,School_92,non admis,bien,A2
86184-HVAX,Randria Hasina Andry Haja Tojo,Antsiranana,School_56,admis,passable,D
41004-YEBH,Randrianarivelo Hery Tovo Miangaly Mamy,Mananjary,School_93,non admis,bien,C
37767-KLBE,Raharimanana Tojo Hasina,Morondava,School_45,non admis,passable,A2
34972-MQNO,Rasolofoson Tiana Fitiavana,Antananarivo,School_93,non admis,assez bien,A1
11366-KHYH,Rakotomamonjy Rina Soa Tojo Finaritra,Antananarivo,School_45,admis,bien,C
