matricule,name,cisco,studied_at,observation,mention,option
85211-ZZUJ,Rakotomamonjy Herilala Finaritra Haja,Farafangana,School_81,admis,passable,A1
12106-ONBB,Rakotoarisoa Tovo Soa Mamy Hasina,Toamasina,School_71,admis,passable,A1
28007-YEIG,Rasolofo Rina Fanilo Herilala Tovo,Toamasina,School_94,admis,passable,A1
33617-VVDU,Andrianarivo Rina Fanilo,Toamasina,School_3,non admis,passable,A1
55810-GLQP,Randria Fitiavana Rina Tovo,Mahajanga,School_2,non admis,passable,A1
23266-UEMI,Randrianarivelo Hery Tiana Miangaly,Ambatondrazaka,School_92,non admis,bien,D
96442-ZWAE,Rasolofoson Haja Andry,Toliara,School_78,admis,passable,D
22645-YMIA,Randria Fanilo Haja Fitiavana,Farafangana,School_9,admis,passable,A2
64462-GNWS,Raharinaivo Miangaly Hery Mamy Tovo,Mahajanga,School_97,admis,très bien,A2
41179-YFCO,Randria Miangaly Hery Finaritra Fanilo,Mananjary,School_27,non admis,passable,S
13699-ILSC,Rakotoarisoa Miangaly Rina Tiana,Antsiranana,School_22,admis,bien,A2
69192-APDL,Raharimanana Miangaly Hasina Haja Finaritra,Ambatondrazaka,School_41,admis,passable,A1
84676-NGGJ,Raharimanana Mamy Fanilo,Toliara,School_68,non admis,passable,A1
10141-DEKK,Raharinaivo Hery Herilala Miangaly,Mananjary,School_51,non admis,assez bien,OSE
14773-IWVZ,Rakotomamonjy Andry Fitiavana,Ambatondrazaka,School_81,admis,passable,D
16820-PUTY,Randrianarivelo Mamy Herilala Tiana,Mananjary,School_11,non admis,bien,A1
42221-UMFP,Rasolofo Hery Fitiavana Rina,Fianarantsoa,School_50,non admis,passable,A2
55869-SIHE,Raharinaivo Tiana Miangaly,Antananarivo,School_48,admis,passable,S
79643-TWKA,Randrianarivelo Rina Miangaly Fanilo Tiana,Antsirabe,School_46,admis,passable,A2
34535-NRIV,Raharimanana Fitiavana Finaritra Mamy,Ambatondrazaka,School_19,admis,très bien,S
37262-TJEY,Randrianarivelo Andry Tojo Hery,Mananjary,School_37,non admis,assez bien,A2
10329-AYVL,Andrianarivo Hery Tiana Rina Soa,Antsirabe,School_17,admis,passable,A1
28209-CNPG,Andrianarivo Fitiavana Andry,Mananjary,School_3,non admis,passable,C
73392-CCAW,Randrianarivelo Andry Fitiavana Haja,Toamasina,School_93,admis,passable,A1
49821-JJFA,Rakotomamonjy Tojo Mamy Herilala,Farafangana,School_70,admis,passable,A1
57265-GMII,Raharimanana Miangaly Hery Fitiavana Herilala,Antsiranana,School_22,admis,passable,A2
17554-OMIW,Raharimanana Hery Miangaly Tojo,Ambatondrazaka,School_97,admis,passable,C
58467-HNFO,Randrianarivelo Hery Fitiavana Haja Fanilo,Mananjary,School_13,admis,passable,A2
31732-JZZR,Rakotoarisoa Herilala Hery Mamy Tojo,Antananarivo,School_22,non admis,passable,A1
45041-IKME,Rajaonarison Fanilo Tiana Andry Fitiavana,Toliara,School_85,non admis,passable,A2
59262-CKGH,Randria Miangaly Mamy Finaritra,Farafangana,School_45,admis,passable,A2
58715-YWIR,Andrianarivo Tovo Miangaly,Toliara,School_48,non admis,passable,A1
61508-GCPS,Rajaonarison Fanilo Haja Rina Tovo,Antananarivo,School_17,non admis,passable,A1
21032-NEIH,Rasolofoson Andry Hasina Herilala Haja,Mahajanga,School_93,non admis,passable,S
33029-BRSP,Rasolofo Soa Mamy Andry,Mahajanga,School_95,non admis,passable,A1
78200-YCGI,Raharimanana Mamy Herilala Fanilo Hery,Fianarantsoa,School_29,admis,passable,A1
18159-VWFZ,Randria Hasina Andry Fanilo Tojo,Antsiranana,School_81,admis,passable,C
73782-GQZH,Randria Mamy Fitiavana Herilala Soa,Antsiranana,School_90,admis,assez bien,A2
86688-DJNU,Randria Herilala Soa Tiana Miangaly,Toamasina,School_9,non admis,passable,C
54179-OCVL,Andrianarivo Andry Tiana,Antsirabe,School_38,admis,bien,A1
95470-ZRHK,Rakotomamonjy Finaritra Miangaly Hery,Antsirabe,School_64,non admis,passable,A1
94811-OEDR,Rajaonarison Herilala Haja Soa,Farafangana,School_38,non admis,passable,D
70571-MDWP,Rakotoarisoa Mamy Hasina Soa,Mananjary,School_3,non admis,passable,A2
41117-XOZM,Rajaonarison Andry Haja,Toliara,School_84,non admis,passable,L
25361-NXVT,Rakotomamonjy Tiana Rina,Farafangana,School_74,non admis,passable,A1
24861-RWMK,Rakotoarisoa Mamy Miangaly Andry Tovo,Antsiranana,School_53,admis,passable,A1
81766-NYUA,Rajaonarison Finaritra Hasina Haja Tovo,Farafangana,School_66,non admis,passable,C
70269-DRQU,Randria Soa Haja Fanilo Mamy,Ambatondrazaka,School_36,admis,passable,A1
32911-QHYQ,Rakotomamonjy Hery Soa Rina Fitiavana,Mananjary,School_98,non admis,passable,D
17657-AMTV,Rakotoarisoa Tiana Mamy,Ambatondrazaka,School_74,non admis,passable,C
56964-ASLZ,Randrianarivelo Tojo Miangaly,Antsirabe,School_18,non admis,bien,D
89094-NWHW,Randria Hasina Andry Mamy,Fianarantsoa,School_9,non admis,bien,S
17533-PMQB,Rasolofoson Andry Rina,Toliara,School_5,non admis,passable,D
28674-RICS,Rakotomamonjy Haja Tovo Herilala Hery,Antsirabe,School_14,non admis,passable,A2
57332-LEZA,Randrianarivelo Fitiavana Tovo Herilala,Farafangana,School_16,non admis,passable,A1
55987-VLJZ,Randria Fanilo Miangaly Herilala Finaritra,Toliara,School_92,admis,passable,A2
58552-BAOJ,Rakotoarisoa Herilala Tovo Soa,Morondava,School_59,admis,passable,A1
55701-CQKI,Rakotoarisoa Miangaly Mamy Soa,Mananjary,School_87,admis,passable,D
21594-ULKP,Rajaonarison Rina Fitiavana,Farafangana,School_6,non admis,assez bien,A2
86456-HDYP,Randrianarivelo Tojo Herilala Tovo Haja,Toamasina,School_80,admis,passable,A1
85519-VJNM,Rakotoarisoa Fitiavana Miangaly,Mahajanga,School_34,non admis,passable,OSE
81394-KJLG,Andrianarivo Soa Finaritra,Antsirabe,School_95,non admis,passable,A2
89882-HETW,Raharinaivo Soa Finaritra,Antsiranana,School_94,admis,passable,D
68673-OTXG,Rakotomamonjy Fitiavana Haja,Fianarantsoa,School_87,admis,passable,A2
87478-XZXZ,Rasolofoson Tovo Mamy Hery Tojo,Mananjary,School_20,admis,passable,L
78477-FHFY,Randria Tovo Tojo Tiana,Mahajanga,School_97,admis,passable,A2
17616-DMRX,Raharinaivo Finaritra Soa Tiana,Antsirabe,School_9,admis,passable,OSE
25283-RQXO,Randria Rina Tovo Tojo,Morondava,School_13,non admis,passable,L
86168-WMII,Raharinaivo Tovo Mamy Tojo,Ambatondrazaka,School_60,non admis,passable,A2
18762-VBRM,Randria Hasina Tovo Fanilo Fitiavana,Toamasina,School_72,non admis,passable,A2
92101-IRFN,Andrianarivo Miangaly Rina Fitiavana,Ambatondrazaka,School_2,admis,passable,A1
80920-HETB,Rajaonarison Andry Herilala Fitiavana Haja,Ambatondrazaka,School_75,non admis,assez bien,A2
45037-DZRU,Rasolofo Miangaly Herilala,Antsiranana,School_48,admis,passable,A1
46793-CWUI,Rajaonarison Fanilo Fitiavana Rina Tovo,Toamasina,School_40,non admis,passable,S
68809-GCDQ,Andrianarivo Fanilo Rina Herilala,Antsiranana,School_16,non admis,passable,A1
89825-LOZC,Randria Hery Finaritra Haja Tiana,Toamasina,School_98,non admis,passable,OSE
44385-KKGR,Rakotomamonjy Soa Rina Fanilo Hery,Antsiranana,School_97,admis,passable,A1
74321-MAWW,Rasolofoson Soa Fitiavana Tovo Rina,Mananjary,School_90,non admis,passable,C
84489-DTRW,Andrianarivo Finaritra Herilala Hasina,Farafangana,School_51,non admis,passable,A2
48815-SNLS,Raharinaivo Hery Fitiavana,Mahajanga,School_93,admis,passable,A2
19318-QGRG,Rakotoarisoa Mamy Fanilo Soa Tojo,Toliara,School_42,non admis,très bien,A2
77081-XEJS,Raharinaivo Andry Finaritra Haja,Ambatondrazaka,School_91,admis,passable,A2
95185-TEFT,Raharinaivo Miangaly Tovo Herilala,Farafangana,School_97,non admis,bien,D
12989-RPIJ,Rajaonarison Mamy Hery Finaritra Soa,Antsirabe,School_8,non admis,bien,S
32319-CSGZ,Randria Herilala Rina,Morondava,School_18,non admis,passable,D
41718-OERM,Raharimanana Tiana Hery,Toliara,School_1,admis,très bien,OSE
35411-VKJP,Randria Andry Finaritra Miangaly,Antsirabe,School_43,non admis,passable,A1
95147-WUZT,Andrianarivo Herilala Hasina Finaritra Tojo,Antsiranana,School_52,admis,passable,A2
34531-NWUN,Randria Hasina Fitiavana Haja Mamy,Fianarantsoa,School_69,non admis,passable,A1
57857-WHIB,Rakotomamonjy Rina Hasina Fitiavana Finaritra,Antsirabe,School_92,non admis,bien,A1
88529-POJD,Raharinaivo Mamy Tiana Andry Tojo,Fianarantsoa,School_24,non admis,passable,A2
92723-GSXX,Rajaonarison Rina Hery Tiana,Toamasina,School_81,admis,passable,A1
10585-TKMY,Rakotomamonjy Fanilo Fitiavana Tiana,Antsiranana,School_7,non admis,bien,A2
26660-RKZH,Randrianarivelo Tojo Mamy,Antsirabe,School_3,non admis,assez bien,A2
38545-KYQP,Raharimanana Fitiavana Finaritra Andry Fanilo,Farafangana,School_92,non admis,passable,C
21084-NJZL,Rakotoarisoa Fitiavana Mamy Tovo,Morondava,School_81,admis,passable,A1
95951-YFZG,Raharinaivo Herilala Miangaly Hery Haja,Mahajanga,School_39,non admis,passable,A2
29949-DLRN,Rasolofoson Rina Tovo Haja Fanilo,Antsiranana,School_78,non admis,passable,OSE
25172-VNIF,Raharinaivo Rina Andry,Morondava,School_100,non admis,passable,A1
16885-XXWS,Raharinaivo Rina Herilala Fanilo Andry,Ambatondrazaka,School_17,admis,passable,A1
59411-ZDFE,Raharimanana Fanilo Hery Soa,Mahajanga,School_65,non admis,passable,A1
70618-XFEL,Raharinaivo Hasina Miangaly Rina Andry,Antsirabe,School_33,non admis,passable,A1
