matricule,name,cisco,studied_at,observation,mention,option
10108-VQPJ,Rakotoarisoa Finaritra Rina,Antananarivo,School_19,non admis,passable,A1
24159-KXLI,Rakotoarisoa Miangaly Hasina Rina Fanilo,Antsiranana,School_6,non admis,passable,A1
83679-BLCN,Rakotoarisoa Hery Mamy Rina,Ambatondrazaka,School_27,non admis,passable,A1
92714-QIDW,Rajaonarison Hasina Tovo,Ambatondrazaka,School_50,admis,passable,D
67416-GYVK,Rasolofoson Mamy Fitiavana Haja Tovo,Ambatondrazaka,School_75,non admis,bien,D
76600-LFWR,Rasolofo Fitiavana Herilala Tojo Mamy,Morondava,School_93,admis,bien,L
10828-BRIC,Rasolofo Tiana Hasina,Farafangana,School_37,non admis,passable,C
90891-VIVU,Rasolofoson Fitiavana Tovo Miangaly Finaritra,Mananjary,School_84,non admis,passable,D
44218-ZYHH,Rajaonarison Soa Tovo Haja,Fianarantsoa,School_28,admis,très bien,C
71895-IUXC,Randrianarivelo Haja Hery,Toliara,School_59,non admis,passable,A2
53216-QFYB,Rasolofoson Soa Mamy Rina,Antananarivo,School_90,non admis,très bien,D
46562-HHIN,Randria Tiana Andry Haja Miangaly,Fianarantsoa,School_10,non admis,passable,D
55452-ZBEM,Rasolofo Tovo Andry Tiana Hasina,Mananjary,School_62,non admis,passable,L
14518-FTRA,Rakotomamonjy Soa Miangaly,Morondava,School_64,non admis,passable,D
27917-SEKO,Randrianarivelo Fitiavana Haja Finaritra Rina,Antsirabe,School_96,admis,passable,L
64750-TDLW,Raharinaivo Haja Andry,Ambatondrazaka,School_22,admis,bien,A2
13281-WOPK,Raharinaivo Rina Fitiavana Hasina Mamy,Mahajanga,School_98,admis,assez bien,A2
71086-OBMR,Rakotomamonjy Hasina Herilala Rina,Mananjary,School_61,admis,passable,D
98406-TZIJ,Rakotoarisoa Tovo Andry Haja Fanilo,Morondava,School_37,non admis,passable,D
24258-ZBZD,Rakotomamonjy Hasina Finaritra Soa,Toliara,School_51,non admis,passable,A2
33892-LQXZ,Randria Tojo Rina Finaritra Herilala,Antsirabe,School_52,admis,passable,A2
63043-ETNN,Rasolofoson Soa Tiana Miangaly,Mahajanga,School_41,non admis,passable,C
16172-EMJD,Rajaonarison Tovo Herilala Fitiavana,Antananarivo,School_99,admis,passable,OSE
69750-OUVM,Rakotoarisoa Miangaly Mamy Hasina,Morondava,School_47,non admis,passable,L
93130-YRIG,Randrianarivelo Fitiavana Rina,Ambatondrazaka,School_23,admis,passable,A2
84504-GTQZ,Rakotoarisoa Soa Andry Tiana,Toamasina,School_42,non admis,passable,C
34290-NZQO,Raharinaivo Rina Haja Andry Hasina,Morondava,School_96,non admis,passable,A2
97930-OGQD,Andrianarivo Miangaly Haja Tiana Mamy,Ambatondrazaka,School_79,non admis,passable,OSE
21543-EYCQ,Rajaonarison Tiana Tojo Hery Fitiavana,Farafangana,School_52,non admis,passable,L
37391-UHIT,Andrianarivo Soa Finaritra,Mananjary,School_94,admis,passable,A2
35170-BCRH,Rasolofoson Miangaly Tovo Herilala Haja,Morondava,School_19,admis,passable,A1
60395-QAUX,Rasolofo Fanilo Finaritra Hasina Fitiavana,Mahajanga,School_80,admis,passable,A1
23823-DPCF,Randrianarivelo Tojo Finaritra Tiana,Toliara,School_62,non admis,assez bien,C
