matricule,name,cisco,studied_at,observation,mention,option
46402-CRTC,Rajaonarison Hery Finaritra,Morondava,School_54,admis,très bien,A2
89250-FQPH,Rakotoarisoa Tovo Rina,Antsirabe,School_19,non admis,passable,C
54967-VNQP,Randria Tiana Tojo,Ambatondrazaka,School_56,admis,passable,D
79876-FILF,Rasolofo Mamy Andry Soa,Mananjary,School_22,non admis,passable,A1
40302-NGFO,Randrianarivelo Fitiavana Andry Tojo,Mahajanga,School_97,admis,passable,A1
12401-LVNX,Randria Fitiavana Finaritra Andry,Antananarivo,School_62,non admis,assez bien,A2
22215-WNIJ,Rakotoarisoa Herilala Andry Haja,Toamasina,School_66,non admis,passable,A1
94565-FTKR,Rasolofoson Hasina Tiana Mamy Andry,Antananarivo,School_96,admis,passable,OSE
94077-CWKT,Raharinaivo Haja Fanilo,Antsiranana,School_99,non admis,passable,A2
61130-FFVQ,Randria Fitiavana Andry Rina Miangaly,Toamasina,School_91,non admis,passable,A1
16533-GIRA,Andrianarivo Fitiavana Tojo Andry,Antsiranana,School_25,admis,assez bien,A2
87719-FZTL,Randrianarivelo Rina Miangaly Tojo Hery,Morondava,School_28,non admis,passable,A1
27763-ZVBN,Randria Herilala Hery,Mananjary,School_3,admis,passable,C
56636-YIEB,Randrianarivelo Haja Hery,Toliara,School_38,non admis,passable,D
64874-AMHQ,Randrianarivelo Tojo Tiana Miangaly Fitiavana,Mananjary,School_83,non admis,passable,A1
60136-VAHS,Raharimanana Tovo Herilala,Mahajanga,School_21,non admis,passable,A1
90610-MAFQ,Rasolofo Hasina Tovo Haja Hery,Ambatondrazaka,School_68,non admis,passable,A2
32449-WMJZ,Rasolofoson Andry Finaritra Tojo Miangaly,Morondava,School_39,admis,assez bien,A1
70231-FDFA,Rakotoarisoa Tovo Mamy,Mananjary,School_3,admis,passable,C
88347-UGFC,Andrianarivo Tiana Miangaly Haja,Antsirabe,School_12,non admis,passable,A1
24679-NKKR,Andrianarivo Hery Haja,Mahajanga,School_8,non admis,passable,A2
54486-NBTK,Andrianarivo Hery Finaritra,Antananarivo,School_4,non admis,bien,C
12094-OTZI,Raharimanana Tojo Tiana Herilala,Antsiranana,School_28,non admis,bien,D
30671-YSAX,Raharimanana Hasina Hery,Ambatondrazaka,School_66,admis,passable,S
89062-QYNG,Rakotomamonjy Andry Haja Hery Tiana,Morondava,School_53,non admis,bien,D
15105-SHLE,Rakotomamonjy Fitiavana Herilala Tojo Hery,Antananarivo,School_98,non admis,passable,L
24596-IDVM,Rasolofoson Herilala Miangaly Fitiavana,Fianarantsoa,School_60,non admis,passable,A2
87256-VRKX,Rakotoarisoa Soa Fitiavana Hery,Antsirabe,School_19,non admis,passable,D
88024-ZHFP,Rasolofoson Tojo Fanilo,Antsirabe,School_74,admis,passable,A1
30742-BMYN,Rasolofoson Hery Andry,Farafangana,School_24,admis,passable,D
89040-MGDY,Rakotomamonjy Mamy Miangaly Fitiavana,Ambatondrazaka,School_5,admis,passable,A2
65633-ZBLL,Rasolofoson Rina Herilala Tiana Haja,Ambatondrazaka,School_96,non admis,bien,L
74219-YCIK,Rasolofo Rina Finaritra,Antsiranana,School_83,non admis,bien,A2
60354-MNXV,Randrianarivelo Finaritra Haja Fitiavana,Antsirabe,School_34,non admis,passable,A1
82375-MDZQ,Rasolofo Finaritra Soa,Antananarivo,School_53,non admis,passable,A2
44672-REZB,Andrianarivo Fanilo Tovo,Toliara,School_58,non admis,passable,A2
