matricule,name,cisco,studied_at,observation,mention,option
12709-JNEF,Rakotomamonjy Herilala Haja Andry Finaritra,Antananarivo,School_16,non admis,passable,D
78333-ERBY,Raharimanana Haja Hasina Fitiavana Tojo,Antsiranana,School_83,non admis,passable,OSE
68670-SNMT,Andrianarivo Hery Rina Hasina,Ambatondrazaka,School_98,non admis,bien,A2
19919-FATF,Randrianarivelo Fitiavana Soa,Ambatondrazaka,School_69,non admis,passable,A2
65450-SPAQ,Andrianarivo Herilala Hasina Andry,Antsiranana,School_31,non admis,bien,A1
81605-TRYU,Rakotoarisoa Tiana Fitiavana Fanilo Herilala,Morondava,School_31,non admis,très bien,A2
27443-ILIR,Rakotoarisoa Hery Tovo Fanilo,Antananarivo,School_51,admis,passable,D
56330-YCGV,Rasolofoson Finaritra Haja Andry,Toliara,School_98,admis,passable,C
14402-HNBC,Randrianarivelo Miangaly Rina,Morondava,School_40,non admis,passable,A2
21568-LQIT,Rakotoarisoa Rina Herilala,Antsirabe,School_80,non admis,passable,A1
11280-YQXK,Randria Haja Miangaly,Antsiranana,School_37,non admis,passable,A2
22616-NVWR,Rasolofoson Tiana Fanilo,Antsiranana,School_28,non admis,passable,A1
59742-RBCA,Andrianarivo Fitiavana Fanilo,Ambatondrazaka,School_6,non admis,passable,A2
70148-QJZW,Andrianarivo Haja Mamy,Mananjary,School_32,admis,bien,C
32310-RDNK,Randria Rina Tojo Finaritra Andry,Farafangana,School_65,non admis,assez bien,D
50381-TTZW,Randria Tiana Rina,Antsirabe,School_98,admis,passable,A1
47064-CCTH,Rasolofoson Andry Miangaly,Ambatondrazaka,School_12,admis,bien,A1
30813-SLRM,Rasolofo Tovo Rina,Mananjary,School_87,non admis,passable,C
69796-OWEJ,Randria Herilala Soa Haja,Mahajanga,School_92,non admis,passable,S
51305-ELLP,Andrianarivo Tovo Fanilo Hery Rina,Morondava,School_81,non admis,passable,A2
43552-SGEQ,Rasolofoson Rina Tojo Tiana Herilala,Mananjary,School_70,admis,passable,A1
67419-ALDZ,Raharimanana Tiana Soa Haja Hery,Ambatondrazaka,School_88,admis,passable,A2
21797-VGGU,Rasolofo Tiana Miangaly,Farafangana,School_28,non admis,passable,S
41550-FPSK,Andrianarivo Soa Andry Rina Hasina,Fianarantsoa,School_13,admis,passable,C
65133-DVIW,Rakotomamonjy Haja Hery,Toliara,School_18,admis,passable,A1
38428-NVLR,Andrianarivo Fanilo Miangaly,Antsiranana,School_28,non admis,passable,C
99930-DKUC,Rajaonarison Fanilo Mamy Rina,Mananjary,School_36,admis,passable,A1
79563-QWND,Randria Soa Hasina Finaritra,Antsiranana,School_42,admis,passable,A1
75785-KPOQ,Randrianarivelo Mamy Miangaly Finaritra,Mahajanga,School_22,non admis,passable,A2
55286-MXEK,Rasolofoson Tiana Fitiavana Haja,Morondava,School_78,non admis,passable,S
30783-GOFO,Randria Tiana Andry Hery,Mananjary,School_63,admis,passable,A1
49246-ULDY,Rasolofo Tovo Mamy,Ambatondrazaka,School_83,admis,passable,A1
74634-VTEE,Raharinaivo Soa Hery Hasina,Antsirabe,School_41,admis,bien,D
88976-CTKW,Rakotoarisoa Soa Miangaly Mamy,Toliara,School_92,non admis,très bien,A2
20458-BBDK,Randrianarivelo Hery Fitiavana Miangaly Mamy,Toliara,School_81,non admis,passable,A1
53975-YEWW,Rasolofoson Finaritra Miangaly Hasina,Antananarivo,School_99,admis,bien,A2
84321-CNBZ,Rasolofo Finaritra Miangaly Rina Hasina,Farafangana,School_88,admis,passable,OSE
27533-OAFO,Raharimanana Miangaly Soa Tovo,Ambatondrazaka,School_36,non admis,passable,A2
47898-CFGU,Rajaonarison Herilala Hasina Tovo,Antananarivo,School_21,non admis,passable,L
25374-SVDM,Randrianarivelo Tojo Hasina,Mananjary,School_54,admis,passable,A2
28561-OHUE,Raharinaivo Soa Rina Mamy Miangaly,Farafangana,School_17,admis,passable,C
71096-PUCP,Rajaonarison Hasina Tovo Fitiavana,Antananarivo,School_35,admis,passable,A2
82848-EHYP,Rasolofo Soa Tovo Miangaly,Mahajanga,School_24,non admis,passable,A2
57034-JHZY,Andrianarivo Tovo Miangaly,Morondava,School_88,admis,passable,A1
56459-YPUH,Raharimanana Tojo Herilala Tovo Fitiavana,Antananarivo,School_77,admis,passable,C
76906-WVDJ,Raharimanana Haja Hasina,Morondava,School_1,non admis,passable,L
96974-XSNR,Andrianarivo Fitiavana Finaritra,Mananjary,School_82,admis,passable,A1
91255-YSFD,Andrianarivo Miangaly Rina,Fianarantsoa,School_27,non admis,passable,A1
35626-UZHV,Raharinaivo Hasina Finaritra,Farafangana,School_21,admis,passable,A1
85111-UGKV,Raharinaivo Andry Hery Tiana Herilala,Ambatondrazaka,School_33,admis,passable,A2
60019-KFJY,Raharimanana Finaritra Tojo Hery Rina,Morondava,School_73,non admis,passable,A2
16312-NLRR,Raharimanana Mamy Herilala Tojo Hery,Antananarivo,School_84,admis,passable,C
32767-LJNY,Rakotomamonjy Fitiavana Herilala,Antsirabe,School_3,non admis,assez bien,A1
56040-RIUY,Andrianarivo Haja Herilala Rina,Morondava,School_27,admis,passable,A2
57194-WILX,Rasolofo Rina Tovo Fanilo,Toliara,School_72,non admis,passable,C
39205-NVIM,Andrianarivo Fitiavana Miangaly Rina,Ambatondrazaka,School_19,admis,passable,A2
34307-CZIK,Raharinaivo Fanilo Miangaly,Toliara,School_27,admis,passable,A2
43009-WRYR,Rajaonarison Fanilo Hery,Mahajanga,School_100,non admis,passable,A1
39175-FIVE,Rakotomamonjy Hery Rina,Mananjary,School_76,non admis,passable,A2
93129-OKNL,Rakotoarisoa Haja Hasina Fanilo Tovo,Farafangana,School_26,admis,passable,A1
25129-PVXM,Rakotomamonjy Fanilo Rina Soa Mamy,Antsiranana,School_85,non admis,passable,A1
38570-XEKL,Randria Hasina Tojo Fitiavana Haja,Antsiranana,School_95,admis,passable,A1
22236-IMVU,Rajaonarison Finaritra Rina Herilala Tiana,Toamasina,School_71,non admis,bien,A2
65288-AVMG,Andrianarivo Andry Haja Fitiavana Fanilo,Mananjary,School_98,non admis,passable,D
78620-RSTF,Raharimanana Fitiavana Finaritra,Fianarantsoa,School_5,non admis,très bien,A2
41450-BVKY,Rasolofoson Hasina Soa,Toamasina,School_23,admis,passable,A2
