matricule,name,cisco,studied_at,observation,mention,option
12694-UXTO,Rajaonarison Tojo Rina Herilala Finaritra,Toamasina,School_65,admis,passable,D
78149-ZQWS,Rakotoarisoa Mamy Tojo Fitiavana,Morondava,School_65,admis,très bien,A1
49235-ERDJ,Rasolofo Andry Herilala,Ambatondrazaka,School_6,non admis,passable,A1
10295-SSZN,Andrianarivo Hasina Tojo Rina Fitiavana,Antsirabe,School_66,admis,passable,A1
70292-QADR,Raharimanana Hery Finaritra Tojo,Toamasina,School_39,non admis,passable,A2
93148-GLCX,Rasolofo Tovo Finaritra Rina Hery,Farafangana,School_79,non admis,passable,C
58562-YLNF,Rakotomamonjy Herilala Tojo,Antsirabe,School_78,non admis,passable,A2
70004-KAFJ,Randria Soa Hasina,Antsiranana,School_55,non admis,assez bien,A2
88764-BENT,Raharimanana Fanilo Tovo,Mananjary,School_89,admis,passable,S
47467-XTPZ,Randrianarivelo Tiana Haja Rina Tovo,Mananjary,School_31,admis,passable,A2
41672-VZAB,Rajaonarison Rina Andry Hery,Antsirabe,School_3,admis,passable,C
62716-JZZW,Raharinaivo Tojo Hasina Tovo Mamy,Toliara,School_12,admis,passable,D
74613-JCYG,Rakotomamonjy Andry Fanilo Haja,Antananarivo,School_88,non admis,passable,A1
79602-ABSL,Rajaonarison Soa Herilala Rina,Farafangana,School_25,admis,passable,A1
90284-LVGZ,Rasolofoson Herilala Miangaly,Ambatondrazaka,School_95,non admis,passable,C
56243-ENGA,Rasolofo Miangaly Tojo Fitiavana Hasina,Antsiranana,School_77,non admis,passable,A2
25653-RVOB,Rasolofoson Andry Tiana,Mananjary,School_73,admis,passable,D
27746-FNDY,Rasolofo Tiana Soa Finaritra Tovo,Morondava,School_97,non admis,très bien,A2
51715-NYJQ,Andrianarivo Andry Fitiavana,Morondava,School_40,non admis,passable,OSE
25513-ZGOC,Andrianarivo Tovo Haja,Antananarivo,School_82,non admis,bien,C
17545-LTNM,Raharimanana Tojo Tovo Hery,Antsiranana,School_23,non admis,passable,A2
44920-NSBB,Rajaonarison Mamy Finaritra Haja Tiana,Toliara,School_49,non admis,passable,A1
11315-HUDY,Randrianarivelo Hery Fanilo,Antananarivo,School_51,admis,passable,A2
55521-RZVN,Randrianarivelo Tojo Herilala,Antsirabe,School_8,admis,très bien,A1
71740-FCHI,Randria Hasina Herilala Hery Haja,Mahajanga,School_69,admis,passable,A2
31801-LORJ,Randrianarivelo Rina Soa Tiana Hasina,Fianarantsoa,School_87,admis,passable,A2
87542-AJYT,Raharinaivo Soa Haja Fitiavana Hasina,Ambatondrazaka,School_48,non admis,passable,OSE
18682-TSHL,Randrianarivelo Tojo Hasina Tovo Mamy,Antsirabe,School_82,non admis,bien,C
14245-HSRL,Randria Herilala Tovo,Antananarivo,School_15,non admis,passable,OSE
83741-NXMK,Raharimanana Tovo Mamy Fitiavana,Antsiranana,School_34,admis,passable,D
28109-ZUIB,Randrianarivelo Tiana Fanilo,Fianarantsoa,School_80,non admis,bien,A2
87033-UMNQ,Rasolofo Tiana Andry Hery,Ambatondrazaka,School_11,non admis,passable,A1
12960-CGJY,Randrianarivelo Tojo Soa Tiana Fitiavana,Toliara,School_22,non admis,assez bien,A1
59897-MQMP,Raharimanana Miangaly Hery Herilala Andry,Antananarivo,School_72,admis,passable,A2
26035-NXDA,Raharinaivo Herilala Andry Hery,Mananjary,School_40,non admis,passable,D
44520-WORD,Randrianarivelo Fanilo Mamy Tojo,Fianarantsoa,School_75,admis,bien,C
59812-AIKT,Randria Haja Miangaly,Mahajanga,School_66,non admis,passable,D
58608-RZQZ,Rasolofo Fitiavana Finaritra Hasina,Fianarantsoa,School_8,non admis,bien,D
