matricule,name,cisco,studied_at,observation,mention,option
36888-WUKZ,Rasolofo Hery Tojo Soa,Mahajanga,School_24,admis,bien,A2
92432-UREM,Rakotoarisoa Tojo Hery,Morondava,School_40,admis,passable,A2
14467-WDSE,Rajaonarison Tiana Rina,Antsiranana,School_45,non admis,passable,A1
72447-QAAC,Randria Fitiavana Soa Miangaly,Mahajanga,School_70,non admis,passable,A1
86269-NYVS,Rajaonarison Hery Finaritra Fanilo Mamy,Antsiranana,School_86,non admis,passable,A1
73744-UCWD,Andrianarivo Herilala Hery Mamy,Farafangana,School_31,non admis,passable,A2
57067-FCNG,Andrianarivo Tiana Rina Soa,Toliara,School_46,admis,bien,A2
90011-IABP,Rasolofo Herilala Andry,Antsiranana,School_27,admis,bien,A1
50961-FELU,Rasolofoson Hery Hasina Finaritra Soa,Morondava,School_23,admis,passable,S
32790-GLDP,Rakotoarisoa Tojo Fitiavana Andry,Fianarantsoa,School_96,non admis,passable,A2
12235-XZHU,Andrianarivo Fanilo Tojo Andry Miangaly,Fianarantsoa,School_34,non admis,passable,A2
16859-FJGK,Andrianarivo Herilala Fanilo Tiana Rina,Mananjary,School_58,non admis,bien,A2
63225-KLRU,Rasolofo Fitiavana Tojo Hery Tiana,Mahajanga,School_96,admis,passable,A2
58195-GFLS,Raharimanana Hery Miangaly Finaritra,Farafangana,School_30,non admis,passable,C
86971-DGQL,Rakotomamonjy Andry Fitiavana,Antananarivo,School_18,admis,passable,A2
64613-CHKN,Rakotoarisoa Herilala Rina Andry Fitiavana,Toamasina,School_92,non admis,très bien,OSE
26665-XCFT,Rasolofo Soa Andry Hery Finaritra,Antsiranana,School_35,admis,passable,A2
14005-KERA,Rasolofo Hery Tovo,Toamasina,School_22,admis,passable,D
36967-CLSN,Randrianarivelo Soa Rina Tovo Herilala,Antsiranana,School_9,non admis,très bien,D
79111-QYSP,Raharimanana Fanilo Finaritra Hery,Morondava,School_100,admis,assez bien,A2
22307-ETLN,Raharimanana Andry Hery Mamy,Mananjary,School_45,admis,passable,A2
48985-SPSP,Rasolofoson Mamy Tiana Finaritra,Farafangana,School_58,non admis,passable,A2
43915-ODYK,Rakotomamonjy Rina Tojo,Toamasina,School_1,admis,passable,A2
46248-VVCY,Randrianarivelo Herilala Tovo Finaritra,Ambatondrazaka,School_10,admis,bien,A2
71593-WPBE,Rajaonarison Soa Fanilo,Mahajanga,School_5,admis,passable,A1
83918-HBMP,Raharinaivo Rina Tiana Herilala Andry,Toamasina,School_7,admis,passable,S
73048-JOXJ,Randria Hasina Miangaly Andry,Ambatondrazaka,School_57,non admis,passable,A2
49230-XBZB,Rakotoarisoa Rina Mamy,Morondava,School_17,admis,bien,A1
10299-NPNV,Rasolofoson Hasina Tiana Mamy,Toliara,School_15,non admis,passable,A2
39086-PHKL,Rakotomamonjy Tojo Herilala,Antsiranana,School_100,admis,passable,A2
79381-NCLL,Rasolofoson Finaritra Mamy,Toamasina,School_3,non admis,passable,C
65325-MTDI,Raharinaivo Andry Hery,Mahajanga,School_89,non admis,passable,A2
