matricule,name,cisco,studied_at,observation,mention,option
85726-QGGP,Raharinaivo Tojo Herilala Hery,Mahajanga,School_4,non admis,passable,A2
82310-LWWX,Raharinaivo Andry Tojo Haja,Antananarivo,School_39,non admis,passable,A2
39935-ZCAF,Randrianarivelo Tovo Soa,Morondava,School_61,admis,passable,A2
82571-AMAX,Raharinaivo Fanilo Fitiavana,Antananarivo,School_21,admis,passable,A2
65080-UKAF,Rakotoarisoa Tovo Fitiavana Soa Miangaly,Farafangana,School_55,non admis,passable,A1
78077-JPZJ,Randrianarivelo Herilala Mamy Hery,Fianarantsoa,School_22,admis,passable,A1
74856-HPRO,Randria Rina Soa Andry Hery,Morondava,School_35,admis,passable,C
82489-HIWJ,Rasolofoson Rina Fitiavana Soa,Antsiranana,School_83,non admis,passable,A1
96474-GRRN,Rakotoarisoa Hery Fanilo Haja,Antsiranana,School_8,non admis,passable,A2
82939-MNVT,Rakotomamonjy Tiana Fanilo,Antananarivo,School_49,non admis,passable,D
34620-FGZO,Andrianarivo Soa Finaritra,Toamasina,School_25,non admis,passable,A1
21373-NUEG,Randrianarivelo Finaritra Andry Herilala,Antananarivo,School_99,non admis,passable,A2
31933-IOTE,Rasolofo Haja Tojo Rina Andry,Toamasina,School_74,admis,passable,D
12929-ECCK,Raharinaivo Hasina Tovo,Mahajanga,School_8,admis,passable,L
78321-ZDUK,Rakotoarisoa Andry Tojo Herilala Finaritra,Ambatondrazaka,School_6,admis,passable,A1
76344-MJYX,Raharinaivo Hasina Tojo Miangaly,Toamasina,School_12,non admis,bien,L
41780-RGAD,Rakotoarisoa Fitiavana Andry,Antsirabe,School_92,non admis,assez bien,A2
22232-BRPC,Andrianarivo Hery Miangaly,Toliara,School_13,non admis,passable,OSE
93070-CRGY,Andrianarivo Hasina Rina,Antsiranana,School_60,non admis,passable,A2
39927-DZXV,Rasolofo Andry Tovo Mamy,Toliara,School_78,non admis,passable,A1
10795-EMLY,Rasolofo Rina Fanilo Miangaly Tovo,Antsiranana,School_26,non admis,passable,S
85501-UPWS,Randria Fitiavana Finaritra Rina,Fianarantsoa,School_61,non admis,bien,A1
46503-POWI,Randria Mamy Fanilo Haja Rina,Mananjary,School_57,admis,bien,S
70370-ZSWV,Raharimanana Tovo Miangaly,Antsiranana,School_30,non admis,passable,A1
54914-QTVW,Randrianarivelo Rina Hasina Mamy Andry,Antsiranana,School_34,admis,passable,A1
15315-UBBE,Rakotoarisoa Miangaly Finaritra,Farafangana,School_56,non admis,très bien,A2
38709-HAXR,Rakotomamonjy Tovo Finaritra Herilala Soa,Antananarivo,School_25,non admis,passable,A1
81105-SHSA,Rajaonarison Haja Finaritra Herilala,Toliara,School_53,non admis,très bien,A2
11030-HOXC,Raharimanana Tojo Herilala Tovo,Mahajanga,School_20,non admis,passable,A2
93068-CIDB,Randrianarivelo Miangaly Hery,Antananarivo,School_81,admis,bien,A2
64881-IZTD,Randrianarivelo Tojo Haja Hery,Mananjary,School_61,non admis,assez bien,A1
30826-ONMG,Rasolofo Soa Finaritra Hery Herilala,Toliara,School_17,admis,passable,A1
44198-NDFJ,Rakotoarisoa Soa Fitiavana Hasina,Ambatondrazaka,School_46,non admis,passable,A1
14418-EKPS,Rakotomamonjy Haja Hery Fanilo Hasina,Farafangana,School_82,non admis,passable,A1
83506-QJWJ,Andrianarivo Tovo Finaritra,Antananarivo,School_68,non admis,passable,A2
95470-SNMA,Rakotomamonjy Herilala Rina,Morondava,School_90,non admis,bien,A2
29160-ROKO,Rasolofo Finaritra Andry,Antsiranana,School_94,non admis,passable,A2
87649-WPOB,Raharinaivo Soa Tovo,Fianarantsoa,School_45,non admis,passable,A2
98555-VRON,Rakotoarisoa Hasina Mamy Fitiavana,Mahajanga,School_14,non admis,passable,S
40067-OKFE,Rasolofo Haja Finaritra,Mahajanga,School_6,non admis,passable,A1
96062-FUHP,Rajaonarison Rina Tovo Tojo Hery,Farafangana,School_81,non admis,passable,A2
55048-TTGN,Randrianarivelo Mamy Andry,Antsiranana,School_77,non admis,très bien,OSE
98379-NOSE,Raharimanana Tojo Mamy Fanilo,Antsirabe,School_69,non admis,assez bien,A1
90659-USGQ,Randria Mamy Haja Tiana Finaritra,Mahajanga,School_74,non admis,passable,S
94184-TTUZ,Rakotoarisoa Tiana Finaritra Hasina Mamy,Ambatondrazaka,School_79,admis,bien,A1
36059-SDSW,Rakotomamonjy Haja Rina Tiana Soa,Antananarivo,School_83,admis,passable,A2
40249-RBMI,Rasolofo Finaritra Soa,Ambatondrazaka,School_32,admis,bien,A1
13092-BWWL,Andrianarivo Hery Miangaly Soa,Fianarantsoa,School_79,non admis,passable,A2
70410-KGDD,Rakotoarisoa Miangaly Herilala Soa Rina,Mahajanga,School_71,non admis,passable,A2
23494-JSQY,Randria Herilala Andry Haja,Farafangana,School_90,non admis,passable,C
95486-QFUL,Rakotoarisoa Herilala Hery,Antsiranana,School_92,non admis,très bien,A2
90652-KZPW,Rajaonarison Fitiavana Finaritra Tojo Fanilo,Mahajanga,School_49,admis,passable,A2
76436-JMQO,Rasolofoson Andry Hery,Morondava,School_91,admis,passable,C
65427-DXYJ,Rakotoarisoa Hasina Herilala Hery,Antsiranana,School_10,admis,passable,A1
15844-YODU,Raharimanana Tovo Herilala,Toliara,School_71,admis,passable,A1
50005-HSWF,Andrianarivo Andry Hasina,Ambatondrazaka,School_64,non admis,passable,C
57045-BVTY,Andrianarivo Tojo Soa Miangaly Finaritra,Mahajanga,School_28,admis,passable,C
72535-JEWO,Rasolofoson Haja Fanilo Tojo,Antsirabe,School_65,non admis,passable,OSE
88721-XOBV,Rajaonarison Herilala Tojo,Toamasina,School_76,non admis,passable,C
58352-KMQG,Rakotomamonjy Fitiavana Rina Fanilo Tojo,Fianarantsoa,School_28,non admis,passable,OSE
16839-CUAA,Rakotomamonjy Mamy Haja,Antsiranana,School_75,non admis,passable,A2
21650-LSTJ,Rasolofo Tojo Hasina Andry,Farafangana,School_48,non admis,passable,L
55660-WMRL,Randrianarivelo Andry Hasina,Antsirabe,School_26,non admis,passable,A2
78318-EQWE,Rakotomamonjy Mamy Fanilo,Fianarantsoa,School_44,non admis,passable,A2
67837-CWGT,Rasolofoson Hery Tiana Fanilo Miangaly,Mananjary,School_61,admis,passable,D
42790-OFIW,Rajaonarison Mamy Fanilo Tojo,Toamasina,School_43,non admis,passable,A2
37512-HZSS,Rasolofoson Andry Hery Mamy Fitiavana,Antsiranana,School_32,non admis,passable,A2
81900-EMCG,Rasolofo Tovo Tiana Haja,Toamasina,School_53,non admis,assez bien,S
54455-MHXX,Andrianarivo Rina Fanilo,Antsiranana,School_8,admis,passable,L
44651-VNMZ,Randria Mamy Andry Miangaly,Farafangana,School_44,non admis,bien,A2
44138-NLXY,Raharinaivo Fitiavana Rina Hery Fanilo,Farafangana,School_4,non admis,assez bien,A2
28917-EYVU,Randria Fanilo Haja Herilala Rina,Antsiranana,School_81,admis,passable,OSE
13571-HTOG,Rakotomamonjy Haja Rina Tovo Miangaly,Antsiranana,School_80,non admis,passable,A1
64103-FIVZ,Rasolofo Soa Tovo,Mananjary,School_76,admis,passable,A2
39137-CYRX,Randrianarivelo Fitiavana Fanilo Tiana,Mananjary,School_25,admis,passable,A1
20339-YGNK,Rakotomamonjy Andry Finaritra Mamy Tojo,Fianarantsoa,School_78,non admis,très bien,A1
98978-WINQ,Raharimanana Fitiavana Fanilo,Fianarantsoa,School_40,non admis,passable,A1
58757-VMYS,Andrianarivo Mamy Hery Tovo,Toliara,School_77,non admis,passable,A2
23947-IQVG,Rakotomamonjy Tovo Fitiavana Miangaly Fanilo,Farafangana,School_16,non admis,passable,A1
42018-ECBV,Rasolofoson Hery Herilala,Fianarantsoa,School_47,non admis,passable,A2
76403-CCYT,Randria Herilala Rina Miangaly,Farafangana,School_1,non admis,passable,D
92668-JAHM,Randrianarivelo Hery Hasina Soa Haja,Morondava,School_15,non admis,passable,A2
14409-XYTI,Rajaonarison Fitiavana Herilala,Fianarantsoa,School_33,non admis,passable,A2
77820-PDNW,Raharimanana Rina Tojo,Mananjary,School_41,non admis,passable,A2
46230-UVDQ,Rakotomamonjy Soa Tiana Fitiavana Tojo,Mahajanga,School_63,non admis,passable,OSE
82519-ZPBM,Rakotoarisoa Soa Herilala Hasina,Toliara,School_42,non admis,passable,A1
57017-IGOS,Randria Tojo Mamy Herilala,Toamasina,School_23,non admis,passable,A1
39084-QEVC,Raharinaivo Tojo Hasina Tiana,Farafangana,School_72,non admis,passable,S
27832-TYSG,Raharinaivo Miangaly Herilala Finaritra Soa,Farafangana,School_57,admis,passable,D
34948-FTDE,Randrianarivelo Rina Finaritra,Antsirabe,School_4,non admis,passable,A2
91373-HBNA,Rajaonarison Hasina Fitiavana Mamy,Toliara,School_88,admis,passable,A2
22738-ZDPH,Rakotomamonjy Tojo Andry Hasina Hery,Antsirabe,School_87,non admis,passable,L
78431-GIZL,Rajaonarison Miangaly Tojo Haja,Toamasina,School_3,non admis,passable,A2
89963-BMWD,Randrianarivelo Hasina Fitiavana,Toliara,School_52,admis,passable,A1
13986-PYBP,Raharinaivo Tiana Andry Haja Soa,Toliara,School_53,admis,passable,D
80933-YSRG,Rakotoarisoa Tovo Soa Hery Tojo,Ambatondrazaka,School_41,non admis,passable,A2
54374-UJEG,Andrianarivo Fitiavana Fanilo Andry,Antsirabe,School_63,non admis,passable,C
90742-YJMI,Randrianarivelo Hasina Finaritra Soa Tojo,Toliara,School_52,admis,passable,A1
22976-QJOC,Randrianarivelo Rina Haja,Antsiranana,School_51,admis,passable,C
69967-NCKI,Andrianarivo Tiana Miangaly Andry,Antsiranana,School_41,non admis,passable,A2
68947-SBCK,Randrianarivelo Tojo Rina Finaritra Hasina,Antsirabe,School_65,non admis,passable,L
58809-JEZE,Raharimanana Hasina Andry Fanilo Fitiavana,Morondava,School_35,non admis,passable,A2
81681-RKUP,Rasolofoson Fitiavana Tiana Herilala,Fianarantsoa,School_23,non admis,bien,OSE
32535-RYSG,Rasolofoson Hasina Tiana,Morondava,School_50,non admis,passable,A1
83103-RLCW,Rajaonarison Hery Rina,Antananarivo,School_18,admis,passable,A1
55943-OHGP,Andrianarivo Hasina Hery Soa,Fianarantsoa,School_42,non admis,passable,A2
94287-NUGD,Rasolofo Miangaly Andry Tojo Mamy,Toliara,School_59,non admis,passable,D
91120-GZIY,Randria Mamy Hery Tovo Fanilo,Toamasina,School_90,admis,passable,A1
89793-ZYNQ,Rasolofo Rina Andry,Antsirabe,School_37,admis,passable,A1
59408-EVMS,Rasolofoson Soa Miangaly Herilala Finaritra,Farafangana,School_90,non admis,passable,A1
61383-OAEB,Raharinaivo Tovo Hery Soa,Antsiranana,School_85,admis,passable,A1
24170-VIAL,Rasolofo Tojo Andry,Mahajanga,School_45,non admis,passable,A1
51131-IPPH,Randrianarivelo Soa Andry,Fianarantsoa,School_45,non admis,passable,A2
22168-ZHUC,Rakotoarisoa Tojo Fitiavana Soa,Antsirabe,School_42,non admis,bien,A2
11802-FKAH,Raharinaivo Hery Miangaly,Toliara,School_85,non admis,passable,C
89380-BKKM,Randrianarivelo Hery Hasina Andry Herilala,Antsiranana,School_28,non admis,passable,A1
30097-RMXF,Rajaonarison Rina Andry Finaritra Fanilo,Farafangana,School_25,admis,passable,A2
53031-VVHN,Randria Rina Tojo Fanilo,Farafangana,School_92,non admis,passable,D
58273-ZPZQ,Rakotoarisoa Herilala Soa Tojo,Mahajanga,School_15,non admis,passable,OSE
20854-VQZT,Randrianarivelo Fitiavana Fanilo,Farafangana,School_70,admis,bien,OSE
45522-PVTU,Rasolofoson Hery Mamy,Mahajanga,School_100,non admis,passable,A1
53152-MZHU,Raharinaivo Tojo Haja Mamy Soa,Mananjary,School_21,non admis,très bien,A1
27515-TMXL,Rajaonarison Hery Herilala Andry Haja,Farafangana,School_7,admis,passable,A1
91537-ZLZF,Randrianarivelo Tiana Tovo Rina Finaritra,Morondava,School_32,admis,passable,A1
34141-HGOJ,Andrianarivo Tojo Soa,Fianarantsoa,School_15,admis,passable,L
96793-NXIP,Randria Rina Haja Herilala Hasina,Antsirabe,School_21,admis,bien,A1
37453-RWAG,Raharinaivo Mamy Finaritra,Fianarantsoa,School_5,non admis,passable,A2
68299-ZDOU,Rasolofo Mamy Hasina Fitiavana,Ambatondrazaka,School_18,non admis,bien,OSE
37778-ACWI,Rakotomamonjy Mamy Haja Tojo,Mahajanga,School_83,admis,passable,A2
29522-XUAQ,Rasolofo Mamy Soa,Antananarivo,School_6,admis,passable,A2
42858-GVIH,Randria Mamy Hasina Soa Hery,Mananjary,School_60,non admis,passable,S
82103-OZGL,Rasolofoson Mamy Tiana,Fianarantsoa,School_40,non admis,passable,A2
66009-DNFT,Raharimanana Hasina Haja Fitiavana,Mananjary,School_60,non admis,passable,C
16143-IAPS,Rajaonarison Hasina Tiana,Antsirabe,School_66,non admis,passable,A1
48620-RPUD,Raharinaivo Hery Fanilo Tojo Tiana,Mahajanga,School_75,non admis,passable,A1
24218-MVSX,Raharimanana Finaritra Soa Tojo Fitiavana,Fianarantsoa,School_5,non admis,assez bien,OSE
