matricule,name,cisco,studied_at,observation,mention,option
26589-LOQT,Rakotomamonjy Herilala Tovo Mamy,Antananarivo,School_92,non admis,passable,D
97796-QYVS,Rajaonarison Haja Finaritra Fitiavana Hery,Farafangana,School_8,non admis,passable,L
71494-UUWV,Rakotoarisoa Tojo Miangaly Mamy,Mananjary,School_83,non admis,assez bien,A2
69368-JEOF,Randrianarivelo Hery Haja Mamy Finaritra,Antsirabe,School_51,admis,passable,A1
12058-BCVE,Andrianarivo Hery Tovo Tiana,Mahajanga,School_55,non admis,passable,A1
18132-BHHN,Rasolofoson Andry Mamy Hery Fanilo,Antsiranana,School_92,admis,passable,A1
39714-NJAM,Rasolofoson Tiana Miangaly Andry,Toamasina,School_67,admis,passable,A2
42438-ISZG,Raharinaivo Tiana Herilala Rina Tovo,Fianarantsoa,School_29,non admis,passable,A2
58845-LCUE,Rakotoarisoa Fanilo Fitiavana Hasina Hery,Toliara,School_39,non admis,passable,A2
79525-LQJB,Randria Hasina Rina,Farafangana,School_30,admis,passable,OSE
31544-ZQXO,Rasolofoson Rina Soa Hasina,Toliara,School_2,admis,passable,C
61271-EXRQ,Rakotoarisoa Tiana Fitiavana,Fianarantsoa,School_74,non admis,passable,A2
74214-HRLS,Randrianarivelo Herilala Andry Soa Tovo,Farafangana,School_10,admis,passable,A2
55333-KNLV,Rakotoarisoa Finaritra Haja,Farafangana,School_79,non admis,passable,S
15112-AJTW,Randria Rina Herilala Fitiavana,Toamasina,School_53,non admis,très bien,OSE
18422-RVCN,Randrianarivelo Soa Tiana Fanilo Tojo,Fianarantsoa,School_88,non admis,bien,D
52835-SALK,Rasolofo Rina Hasina,Morondava,School_53,admis,bien,A1
49691-QUDH,Andrianarivo Tojo Herilala Fanilo,Mananjary,School_42,admis,passable,A1
35036-PYHW,Rajaonarison Hasina Miangaly Herilala Finaritra,Mananjary,School_6,non admis,passable,A1
87732-ETNK,Raharinaivo Hery Tiana Soa,Antananarivo,School_78,non admis,passable,C
51354-UIJO,Rasolofoson Mamy Tiana,Antsirabe,School_33,non admis,très bien,C
74757-UVWZ,Raharinaivo Hasina Tovo Miangaly,Farafangana,School_29,non admis,passable,C
97392-VTMU,Raharimanana Tiana Andry Finaritra Tojo,Mahajanga,School_83,admis,passable,A1
31544-UPLC,Rasolofoson Hasina Haja Fitiavana,Farafangana,School_38,non admis,passable,A2
49331-IULV,Rasolofoson Mamy Andry Tiana Haja,Toliara,School_57,non admis,passable,L
78009-MXVO,Randrianarivelo Hasina Finaritra,Farafangana,School_81,admis,passable,A1
28958-XODY,Rakotoarisoa Tovo Fitiavana Tiana Finaritra,Ambatondrazaka,School_3,admis,bien,A2
89303-ECTC,Andrianarivo Tovo Rina Fanilo,Morondava,School_41,non admis,assez bien,C
33564-WDGL,Randria Haja Tojo,Morondava,School_47,admis,passable,A2
61982-YHVV,Raharinaivo Andry Miangaly,Fianarantsoa,School_29,non admis,assez bien,D
19729-VZGW,Andrianarivo Herilala Soa Tovo,Fianarantsoa,School_56,non admis,assez bien,D
87746-TPZC,Randria Mamy Haja,Antsirabe,School_20,non admis,passable,A2
11359-YBPX,Raharinaivo Rina Fitiavana,Toliara,School_47,admis,passable,D
15014-KOSS,Raharimanana Herilala Rina,Antsirabe,School_35,non admis,assez bien,A2
