matricule,name,cisco,studied_at,observation,mention,option
61255-ZYOP,Rasolofoson Finaritra Hasina,Morondava,School_5,admis,passable,A1
63189-PVFU,Raharimanana Andry Haja,Antsiranana,School_2,admis,bien,A2
78550-YZWT,Randrianarivelo Finaritra Herilala Tojo Soa,Mahajanga,School_60,non admis,passable,C
56606-BKDD,Andrianarivo Tovo Fanilo Hery,Morondava,School_19,non admis,assez bien,A1
62005-RJCD,Raharinaivo Rina Haja Herilala,Toamasina,School_25,admis,bien,A1
62461-EHJJ,Rajaonarison Fitiavana Herilala,Farafangana,School_39,non admis,passable,L
18334-UXJJ,Rasolofo Herilala Miangaly Hery Rina,Toamasina,School_36,admis,assez bien,A2
47817-JRNR,Randrianarivelo Rina Finaritra Miangaly,Toamasina,School_25,non admis,passable,A1
66421-SAPF,Andrianarivo Haja Andry Mamy,Ambatondrazaka,School_82,non admis,passable,D
89170-IPMB,Randrianarivelo Herilala Fanilo Hasina Fitiavana,Ambatondrazaka,School_47,non admis,assez bien,C
39162-AECL,Randria Finaritra Hasina Soa,Toliara,School_54,non admis,bien,A2
99334-NLAG,Randrianarivelo Tiana Fitiavana,Antsirabe,School_31,non admis,passable,A1
52528-IAZX,Rakotoarisoa Tovo Fitiavana,Mananjary,School_52,admis,passable,OSE
46820-VWZI,Rakotomamonjy Finaritra Tovo Fanilo,Toamasina,School_50,admis,passable,A1
23562-ULFX,Raharimanana Soa Tojo,Morondava,School_60,non admis,passable,A1
94348-SNBV,Rasolofo Miangaly Haja,Antananarivo,School_7,non admis,assez bien,A1
16540-BXMA,Rakotoarisoa Fitiavana Tojo Fanilo Rina,Ambatondrazaka,School_35,admis,passable,A1
40711-ANPY,Randria Tojo Soa,Antananarivo,School_83,admis,passable,A2
49896-EWOP,Rajaonarison Tiana Finaritra Haja,Mananjary,School_11,admis,passable,A1
45390-HYAH,Rasolofo Tojo Andry,Morondava,School_96,non admis,passable,A1
91489-HZLG,Andrianarivo Fitiavana Andry Herilala Tiana,Antsiranana,School_40,admis,passable,A1
74571-MQLJ,Andrianarivo Fanilo Hasina,Morondava,School_99,admis,passable,C
45350-UICI,Rasolofo Miangaly Fanilo Soa,Antananarivo,School_25,non admis,passable,D
15440-ZGKV,Rasolofo Andry Rina Hasina,Morondava,School_72,admis,passable,C
45118-JAYK,Rakotomamonjy Mamy Rina,Ambatondrazaka,School_85,admis,bien,A1
41179-JQAY,Randrianarivelo Herilala Tiana Finaritra,Antananarivo,School_59,non admis,passable,A2
66310-ANWS,Randrianarivelo Tovo Fitiavana Finaritra,Toamasina,School_97,admis,passable,A1
95263-RBZT,Rajaonarison Tiana Miangaly Tojo Hasina,Toamasina,School_74,admis,passable,A2
51352-GATG,Rakotoarisoa Tiana Haja,Mananjary,School_10,admis,passable,C
58002-AWXB,Raharinaivo Tojo Soa,Morondava,School_100,non admis,passable,D
65230-QRAL,Raharimanana Herilala Tojo,Toamasina,School_4,non admis,passable,A2
50973-QPDR,Rakotoarisoa Miangaly Mamy Tojo Hery,Mahajanga,School_59,admis,passable,OSE
60503-SKZE,Raharinaivo Fitiavana Rina,Mahajanga,School_2,non admis,passable,A1
18787-TJRN,Andrianarivo Tojo Fitiavana Miangaly Fanilo,Toliara,School_85,non admis,bien,A1
55026-DADV,Randrianarivelo Miangaly Hery Andry,Ambatondrazaka,School_87,non admis,passable,A1
82590-RELX,Rakotoarisoa Herilala Haja,Antsiranana,School_37,admis,passable,A1
95328-CLPA,Raharinaivo Fitiavana Fanilo Tojo,Mananjary,School_24,admis,passable,A1
