matricule,name,cisco,studied_at,observation,mention,option
26439-DXDE,Randrianarivelo Tovo Tiana Soa,Fianarantsoa,School_15,admis,passable,A1
10312-RUXD,Rakotomamonjy Herilala Finaritra,Toliara,School_28,admis,passable,A1
53622-NNGN,Rajaonarison Tovo Hasina Hery Andry,Morondava,School_88,non admis,passable,A1
72245-DMNL,Randrianarivelo Hasina Mamy,Antsiranana,School_40,non admis,passable,A2
94080-BYRP,Rakotoarisoa Finaritra Haja Miangaly,Antsiranana,School_61,non admis,passable,A1
97198-KJKX,Raharinaivo Hasina Haja,Toamasina,School_22,admis,passable,OSE
96636-KJKU,Randrianarivelo Finaritra Hery Andry Hasina,Toliara,School_41,admis,assez bien,C
62700-XBKB,Rajaonarison Tovo Andry,Ambatondrazaka,School_15,admis,passable,A1
35181-ZXDO,Rasolofo Tojo Haja Tiana,Farafangana,School_91,non admis,assez bien,A2
73800-PSHI,Rasolofoson Soa Rina Tovo,Fianarantsoa,School_47,admis,passable,A1
80933-RDGW,Andrianarivo Miangaly Tojo,Toliara,School_7,non admis,passable,A2
11643-XQMW,Randrianarivelo Andry Haja,Fianarantsoa,School_11,non admis,passable,A2
35356-BRES,Rasolofo Tojo Haja,Ambatondrazaka,School_3,admis,passable,A2
35528-SWPS,Randria Haja Tovo Hery,Mananjary,School_97,non admis,assez bien,A2
87376-QNDE,Rajaonarison Rina Hery Herilala Tojo,Antsiranana,School_52,non admis,bien,A2
27087-IOLA,Randria Andry Hasina,Antsirabe,School_81,non admis,passable,D
32964-HOOA,Randria Tiana Andry Fanilo,Morondava,School_38,admis,passable,S
27385-QHQL,Randrianarivelo Andry Tovo,Toliara,School_47,admis,passable,D
94033-HAST,Andrianarivo Mamy Rina,Ambatondrazaka,School_84,admis,passable,A1
73225-PFFO,Rakotoarisoa Tiana Rina Haja,Morondava,School_2,admis,bien,A2
97627-JILQ,Raharimanana Soa Miangaly Hasina,Antsiranana,School_75,non admis,passable,C
15693-VULI,Rasolofo Soa Mamy Tojo Hery,Antsirabe,School_31,admis,passable,S
36666-EDXI,Rakotoarisoa Tovo Mamy Tiana Hasina,Morondava,School_77,admis,bien,L
26666-ZJRI,Andrianarivo Tovo Hasina,Antananarivo,School_36,non admis,bien,A2
96678-QXPG,Rajaonarison Soa Fitiavana,Antananarivo,School_35,admis,passable,A1
17930-OMBX,Rakotomamonjy Soa Fitiavana Hasina,Antananarivo,School_3,admis,passable,A2
29125-ZUXP,Randrianarivelo Miangaly Tiana,Fianarantsoa,School_43,non admis,bien,C
61112-TRSK,Rajaonarison Herilala Miangaly,Toliara,School_3,non admis,passable,C
60589-AVNK,Andrianarivo Fitiavana Hasina Andry,Toamasina,School_54,non admis,passable,A1
37619-XNQS,Randrianarivelo Fitiavana Fanilo Soa,Farafangana,School_23,non admis,très bien,L
15987-CHXE,Raharinaivo Haja Soa Hasina Finaritra,Toliara,School_7,admis,passable,C
33688-XNRQ,Rasolofoson Finaritra Herilala Hery Tojo,Toliara,School_84,non admis,passable,A1
49494-PQQI,Rakotomamonjy Hasina Mamy Herilala Fitiavana,Antsirabe,School_56,non admis,passable,A1
44112-JLYM,Raharinaivo Rina Tovo Fitiavana Haja,Mananjary,School_24,non admis,passable,A1
61566-TDGD,Rakotoarisoa Soa Fitiavana Miangaly Mamy,Toliara,School_82,non admis,passable,D
98566-BAWK,Rakotomamonjy Andry Herilala Finaritra,Toliara,School_35,admis,bien,D
89033-DKJJ,Rasolofo Andry Hery,Antananarivo,School_8,non admis,très bien,D
71521-SBSQ,Rajaonarison Hasina Finaritra,Fianarantsoa,School_27,non admis,très bien,A1
68033-QJZR,Raharinaivo Soa Miangaly Herilala Fitiavana,Toliara,School_80,admis,passable,L
45834-RWCQ,Rajaonarison Soa Hery Rina,Toliara,School_78,non admis,bien,D
70887-WINW,Rakotoarisoa Soa Hasina Miangaly,Antananarivo,School_1,admis,bien,A2
16690-JIOD,Randrianarivelo Fitiavana Tovo Andry,Mahajanga,School_56,admis,passable,A1
92323-YPBQ,Randrianarivelo Finaritra Soa Hasina,Antsirabe,School_31,non admis,passable,A2
68202-NGJR,Andrianarivo Mamy Tojo Hery Soa,Antsiranana,School_32,non admis,passable,C
52496-IANY,Raharimanana Mamy Herilala Soa Tojo,Farafangana,School_68,non admis,passable,A2
41719-COJJ,Rakotomamonjy Andry Hasina Mamy Haja,Morondava,School_15,non admis,passable,A2
60238-KPOM,Rasolofo Andry Finaritra Rina,Fianarantsoa,School_4,non admis,passable,A1
56356-EMDN,Raharinaivo Hasina Hery Finaritra Haja,Mananjary,School_99,non admis,passable,A1
41605-LOYD,Raharinaivo Hery Haja,Mahajanga,School_96,admis,passable,A1
66489-FFCA,Rakotoarisoa Hasina Finaritra,Ambatondrazaka,School_29,non admis,bien,A1
27989-SZLH,Raharinaivo Herilala Fanilo,Fianarantsoa,School_43,non admis,passable,A2
54714-TYDS,Rakotoarisoa Haja Hery,Ambatondrazaka,School_62,non admis,bien,A1
16595-JQRS,Andrianarivo Soa Fanilo,Antananarivo,School_99,admis,passable,A2
18751-RXOO,Andrianarivo Haja Fanilo,Toliara,School_29,non admis,passable,A2
87349-SSWA,Rasolofoson Finaritra Tiana,Toliara,School_80,admis,passable,A2
